Area,Date,Commodity type,log_commodity_price,log_polysilicon
Pakistan,01/01/2017,Panels,-0.97,2.86
Pakistan,01/02/2017,Panels,-0.97,2.87
Pakistan,01/03/2017,Panels,-0.97,2.81
Pakistan,01/04/2017,Panels,-0.97,2.62
Pakistan,01/05/2017,Panels,-0.97,2.68
Pakistan,01/06/2017,Panels,-0.97,2.71
Pakistan,01/07/2017,Panels,-0.97,2.74
Pakistan,01/08/2017,Panels,-1.14,2.87
Pakistan,01/09/2017,Panels,-1.17,2.96
Pakistan,01/10/2017,Panels,-1.17,2.96
Pakistan,01/11/2017,Panels,-1.2,2.97
Pakistan,01/12/2017,Panels,-1.2,2.98
Pakistan,01/01/2018,Panels,-1.24,3.02
Pakistan,01/02/2018,Panels,-1.27,2.93
Pakistan,01/03/2018,Panels,-1.27,2.86
Pakistan,01/04/2018,Panels,-1.31,2.88
Pakistan,01/05/2018,Panels,-1.35,2.86
Pakistan,01/06/2018,Panels,-1.35,2.62
Pakistan,01/07/2018,Panels,-1.39,2.52
Pakistan,01/08/2018,Panels,-1.39,2.49
Pakistan,01/09/2018,Panels,-1.43,2.45
Pakistan,01/10/2018,Panels,-1.43,2.37
Pakistan,01/11/2018,Panels,-1.35,2.32
Pakistan,01/12/2018,Panels,-1.31,2.32
Pakistan,01/01/2019,Panels,-1.24,2.31
Pakistan,01/02/2019,Panels,-1.24,2.33
Pakistan,01/03/2019,Panels,-1.27,2.32
Pakistan,01/04/2019,Panels,-1.27,2.29
Pakistan,01/05/2019,Panels,-1.27,2.28
Pakistan,01/06/2019,Panels,-1.31,2.28
Pakistan,01/07/2019,Panels,-1.31,2.28
Pakistan,01/08/2019,Panels,-1.35,2.25
Pakistan,01/09/2019,Panels,-1.35,2.24
Pakistan,01/10/2019,Panels,-1.35,2.25
Pakistan,01/11/2019,Panels,-1.39,2.25
Pakistan,01/12/2019,Panels,-1.39,2.21
Pakistan,01/01/2020,Panels,-1.43,2.22
Pakistan,01/02/2020,Panels,-1.43,2.21
Pakistan,01/03/2020,Panels,-1.47,2.22
Pakistan,01/04/2020,Panels,-1.47,2.11
Pakistan,01/05/2020,Panels,-1.47,1.99
Pakistan,01/06/2020,Panels,-1.51,1.96
Pakistan,01/07/2020,Panels,-1.56,2.04
Pakistan,01/08/2020,Panels,-1.47,2.44
Pakistan,01/09/2020,Panels,-1.47,2.56
Pakistan,01/10/2020,Panels,-1.43,2.5
Pakistan,01/11/2020,Panels,-1.39,2.46
Pakistan,01/12/2020,Panels,-1.39,2.42
Pakistan,01/01/2021,Panels,-1.35,2.49
Pakistan,01/02/2021,Panels,-1.35,2.54
Pakistan,01/03/2021,Panels,-1.35,2.72
Pakistan,01/04/2021,Panels,-1.35,2.9
Pakistan,01/05/2021,Panels,-1.31,3.14
Pakistan,01/06/2021,Panels,-1.27,3.36
Pakistan,01/07/2021,Panels,-1.31,3.33
Pakistan,01/08/2021,Panels,-1.31,3.32
Pakistan,01/09/2021,Panels,-1.27,3.38
Pakistan,01/10/2021,Panels,-1.27,3.56
Pakistan,01/11/2021,Panels,-1.27,3.62
Pakistan,01/12/2021,Panels,-1.27,3.57
Pakistan,01/01/2022,Panels,-1.35,3.48
Pakistan,01/02/2022,Panels,-1.35,3.51
Pakistan,01/03/2022,Panels,-1.39,3.54
Pakistan,01/04/2022,Panels,-1.27,3.54
Pakistan,01/05/2022,Panels,-1.24,3.53
Pakistan,01/06/2022,Panels,-1.24,3.58
Pakistan,01/07/2022,Panels,-1.24,3.65
Pakistan,01/08/2022,Panels,-1.24,3.67
Pakistan,01/09/2022,Panels,-1.24,3.65
Pakistan,01/10/2022,Panels,-1.27,3.63
Pakistan,01/11/2022,Panels,-1.27,3.62
Pakistan,01/12/2022,Panels,-1.56,3.48
Pakistan,01/01/2023,Panels,-1.47,3.03
Pakistan,01/02/2023,Panels,-1.47,3.37
Pakistan,01/03/2023,Panels,-1.51,3.31
Pakistan,01/04/2023,Panels,-1.51,3.2
Pakistan,01/05/2023,Panels,-1.51,2.87
Pakistan,01/06/2023,Panels,-1.56,2.21
