caldt,b1ret,t30ret,cpiret
31/01/1942,0.002663,0.000178,0.012903
28/02/1942,0.000887,0.000111,0.006369
31/03/1942,-0.000143,0.000108,0.012658
30/04/1942,-0.000481,0.000068,0.00625
29/05/1942,0.000433,0.000161,0.012422
30/06/1942,0.00065,0.000249,0
31/07/1942,-0.000304,0.000252,0.006135
31/08/1942,0.000629,0.000307,0.006098
30/09/1942,0.000481,0.000281,0
31/10/1942,0.001087,0.000343,0.012121
30/11/1942,0.000877,0.0003,0.005988
31/12/1942,0.000712,0.000254,0.005952
30/01/1943,0.0025,0.000295,0
27/02/1943,0.000626,0.000263,0
31/03/1943,0.00062,0.000276,0.017751
30/04/1943,0.000506,0.000292,0.011628
29/05/1943,0.001338,0.000284,0.005747
30/06/1943,0.001055,0.000276,0
31/07/1943,0.000007,0.000291,-0.005714
31/08/1943,0.000318,0.000307,-0.005747
30/09/1943,0.000613,0.000258,0.00578
30/10/1943,0.000618,0.000283,0
30/11/1943,0.000794,0.000307,0
31/12/1943,0.001009,0.000258,0
31/01/1944,0.000436,0.000293,0
29/02/1944,0.000837,0.000289,0
31/03/1944,0.000739,0.000238,0
29/04/1944,0.001088,0.000277,0.005747
31/05/1944,0.000541,0.000261,0
30/06/1944,0.000723,0.000288,0.005714
31/07/1944,0.000956,0.000293,0.005682
31/08/1944,0.000894,0.000246,0
30/09/1944,0.000544,0.000237,0
31/10/1944,0.000568,0.000309,0
30/11/1944,0.000301,0.00024,0
30/12/1944,0.000776,0.00024,0.00565
31/01/1945,0.002281,0.000264,0
28/02/1945,0.000613,0.000224,0
31/03/1945,0.000843,0.000248,0
30/04/1945,0.000435,0.000286,0
31/05/1945,0.000558,0.000248,0.005618
30/06/1945,0.000975,0.00024,0.011173
31/07/1945,0.00061,0.000309,0
31/08/1945,0.00077,0.00024,0
29/09/1945,0.000748,0.000279,0
31/10/1945,0.000889,0.000309,0
30/11/1945,0.000608,0.00024,0
31/12/1945,0.000785,0.000319,0.005525
31/01/1946,0.001838,0.000291,0
28/02/1946,0.001267,0.000272,-0.005495
30/03/1946,-0.000066,0.000288,0.01105
30/04/1946,0.000358,0.000309,0.005464
31/05/1946,0.000617,0.000291,0.005435
28/06/1946,0.000618,0.000272,0.010811
31/07/1946,0.000584,0.000319,0.058824
30/08/1946,0.000236,0.00029,0.020202
30/09/1946,0.000587,0.000295,0.009901
31/10/1946,0.000787,0.000291,0.019608
30/11/1946,0.000574,0.000288,0.024038
31/12/1946,0.000697,0.000309,0.00939
31/01/1947,0.001783,0.00026,0
28/02/1947,0.000627,0.000271,0
31/03/1947,0.001052,0.000295,0.018605
30/04/1947,0.000454,0.000291,0
29/05/1947,0.00122,0.000282,0
30/06/1947,0.000741,0.000304,0.004566
31/07/1947,0.000738,0.000291,0.009091
29/08/1947,0.00069,0.000276,0.013514
30/09/1947,0.000491,0.000295,0.022222
31/10/1947,0.000693,0.000613,0
28/11/1947,0.000474,0.000626,0.004348
31/12/1947,0.001084,0.000798,0.012987
30/01/1948,0.000763,0.000726,0.012821
27/02/1948,0.00087,0.000723,-0.008439
31/03/1948,0.000893,0.000889,-0.004255
30/04/1948,0.000861,0.000817,0.017094
28/05/1948,0.001082,0.000761,0.004202
30/06/1948,0.000865,0.000926,0.008368
30/07/1948,0.000872,0.000818,0.012448
31/08/1948,0.000374,0.000922,0.004098
30/09/1948,0.000809,0.000855,0
29/10/1948,0.000942,0.000393,-0.004082
30/11/1948,0.00116,0.000983,-0.008197
31/12/1948,0.0015,0.000934,-0.004132
31/01/1949,0.001187,0.000955,-0.004149
28/02/1949,0.000908,0.000884,-0.008333
31/03/1949,0.001154,0.000948,0
