company,estimate_(Intercept),"estimate_lag(logS, 1)","estimate_lag(CDS, 1)",estimate_SPY,estimate_L,estimate_Q,estimate_VIX,estimate_VIX_var,estimate_MC,estimate_U,estimate_D,std.error_(Intercept),"std.error_lag(logS, 1)","std.error_lag(CDS, 1)",std.error_SPY,std.error_L,std.error_Q,std.error_VIX,std.error_VIX_var,std.error_MC,std.error_U,std.error_D,statistic_(Intercept),"statistic_lag(logS, 1)","statistic_lag(CDS, 1)",statistic_SPY,statistic_L,statistic_Q,statistic_VIX,statistic_VIX_var,statistic_MC,statistic_U,statistic_D,p.value_(Intercept),"p.value_lag(logS, 1)","p.value_lag(CDS, 1)",p.value_SPY,p.value_L,p.value_Q,p.value_VIX,p.value_VIX_var,p.value_MC,p.value_U,p.value_D
VZ,-1.002,0.138,0.944,0.086,-0.006,-0.038,0.006,0.201,-0,NA,NA,0.434,0.115,0.006,0.023,0.002,0.014,0.001,0.043,0,NA,NA,-2.309,1.201,148.174,3.804,-3.398,-2.811,8.443,4.651,-3.224,NA,NA,0.021,0.23,0,0,0.001,0.005,0,0,0.001,NA,NA
CAT,-0.012,0.148,0.999,-0.064,-0.018,0.007,0,0.316,-0,NA,NA,0.173,0.064,0.005,0.027,0.009,0.046,0,0.025,0,NA,NA,-0.072,2.301,193.211,-2.389,-1.893,0.152,1.087,12.522,-2.219,NA,NA,0.943,0.021,0,0.017,0.059,0.879,0.277,0,0.027,NA,NA
CVX,-1.732,0.552,0.988,-0.023,-0.177,0.034,0.004,0.022,-0,-0.044,0.1,0.35,0.081,0.003,0.011,0.054,0.017,0,0.028,0,0.072,0.059,-4.949,6.811,373.676,-2.117,-3.251,1.99,9.885,0.792,-6.927,-0.61,1.7,0,0,0,0.034,0.001,0.047,0,0.429,0,0.542,0.089
KO,-0.299,0.16,0.987,-0.036,-0.003,0.012,0,0.001,-0,0.001,-0.017,0.134,0.058,0.003,0.011,0.003,0.008,0,0.011,0,0.04,0.028,-2.236,2.752,290.499,-3.226,-1.164,1.613,1.493,0.071,-1.572,0.015,-0.607,0.025,0.006,0,0.001,0.245,0.107,0.136,0.943,0.116,0.988,0.544
DIS,-1.283,0.482,0.908,-0.06,-0.216,-0.012,0.003,0.074,-0,0.1,0.014,0.338,0.062,0.008,0.033,0.053,0.024,0.001,0.034,0,0.091,0.074,-3.8,7.731,108.485,-1.785,-4.068,-0.502,5.901,2.164,-8.398,1.095,0.182,0,0,0,0.074,0,0.616,0,0.031,0,0.273,0.855
XOM,-0.067,0.015,0.995,0.002,-0.01,-0.002,0,-0.011,-0,0.001,-0.054,0.073,0.02,0.003,0.004,0.013,0.01,0,0.009,0,0.035,0.025,-0.925,0.731,378.727,0.434,-0.811,-0.183,2.011,-1.209,-0.455,0.018,-2.19,0.355,0.465,0,0.664,0.417,0.855,0.044,0.227,0.649,0.985,0.029
HPQ,0.086,0.088,0.996,-0.051,NA,0.125,0.001,0.377,-0,0.016,NA,0.33,0.038,0.002,0.048,NA,0.075,0.001,0.048,0,0.185,NA,0.261,2.324,404.6,-1.05,NA,1.653,1.417,7.936,-1.439,0.086,NA,0.795,0.02,0,0.294,NA,0.099,0.157,0,0.15,0.931,NA
HD,-0.372,0.024,0.981,0.028,0,-0.01,0,0.156,-0,NA,NA,0.199,0.017,0.005,0.029,0,0.015,0,0.016,0,NA,NA,-1.867,1.422,207.743,0.982,0.734,-0.64,1.537,9.537,-1.947,NA,NA,0.062,0.155,0,0.326,0.463,0.522,0.124,0,0.052,NA,NA
IBM,-1.508,0.672,0.975,-0.143,-0.011,-0.084,0.001,0.205,-0,0.002,0.154,0.26,0.067,0.004,0.016,0.003,0.013,0,0.022,0,0.081,0.057,-5.806,10.089,261.412,-9.203,-3.273,-6.358,3.228,9.354,-10.806,0.03,2.706,0,0,0,0,0.001,0,0.001,0,0,0.976,0.007
JNJ,-1.292,0.266,0.967,0.012,0.008,0.008,0,0.126,-0,NA,NA,0.256,0.057,0.005,0.017,0.008,0.004,0,0.016,0,NA,NA,-5.046,4.696,194.789,0.685,1.009,1.748,1.056,8.048,-3.951,NA,NA,0,0,0,0.493,0.313,0.081,0.291,0,0,NA,NA
MCD,-0.312,0.027,0.985,0.023,-0,0.004,0,0.2,-0,NA,-0.072,0.13,0.031,0.004,0.021,0,0.004,0,0.018,0,NA,0.04,-2.406,0.864,239.411,1.109,-0.987,1.01,1.462,11.127,-1.948,NA,-1.806,0.016,0.388,0,0.268,0.324,0.313,0.144,0,0.052,NA,0.071
PFE,-0.523,0.401,0.982,-0.082,0.002,0.005,-0,0.168,-0,-0.014,0.012,0.091,0.06,0.004,0.016,0.002,0.004,0,0.017,0,0.045,0.037,-5.765,6.74,258.038,-5.234,0.973,1.237,-1.02,10.093,-5.96,-0.31,0.337,0,0,0,0,0.331,0.216,0.308,0,0,0.757,0.736
PG,-0.808,0.148,0.975,0.031,0.01,-0.064,0,0.154,-0,NA,NA,0.199,0.056,0.005,0.017,0.01,0.026,0,0.017,0,NA,NA,-4.066,2.643,188.008,1.777,1.006,-2.437,0.317,9.024,-3.554,NA,NA,0,0.008,0,0.076,0.315,0.015,0.751,0,0,NA,NA
T,1.106,-0.062,0.946,-0.083,-0.171,-0.019,0.011,0.233,0,NA,0.058,0.602,0.104,0.006,0.037,0.034,0.025,0.001,0.055,0,NA,0.151,1.839,-0.603,166.283,-2.222,-5.093,-0.769,10.998,4.209,1.185,NA,0.385,0.066,0.547,0,0.026,0,0.442,0,0,0.236,NA,0.7
WMT,-1.637,0.247,0.975,0.066,0.072,0.03,0.001,0.154,-0,NA,NA,0.228,0.051,0.004,0.02,0.011,0.039,0,0.016,0,NA,NA,-7.194,4.839,232.528,3.316,6.303,0.767,3.482,9.745,-5.936,NA,NA,0,0,0,0.001,0,0.443,0.001,0,0,NA,NA
CI,-0.031,0.012,0.991,-0.009,0.007,0,0,0.051,-0,NA,NA,0.089,0.007,0.003,0.012,0.005,0.01,0,0.01,0,NA,NA,-0.345,1.59,352.543,-0.721,1.354,0.034,0.616,4.918,-1.659,NA,NA,0.73,0.112,0,0.471,0.176,0.973,0.538,0,0.097,NA,NA
MO,-2.28,0.882,0.983,-0.059,0,0.071,0.002,0.187,-0,0.028,0.602,0.26,0.097,0.003,0.016,0,0.019,0,0.025,0,0.069,0.097,-8.762,9.134,294.561,-3.626,2.471,3.732,4.058,7.345,-8.874,0.406,6.195,0,0,0,0,0.014,0,0,0,0,0.685,0
HCA,-27.644,5.254,0.947,1.471,NA,0.402,0.002,2.38,-0,NA,NA,10.072,1,0.024,1.423,NA,0.747,0.013,0.261,0,NA,NA,-2.745,5.254,39.076,1.034,NA,0.538,0.138,9.128,-5.788,NA,NA,0.007,0,0,0.302,NA,0.591,0.89,0,0,NA,NA
IP,-1.339,1.022,0.981,-0.204,-0.003,-0.051,0.001,0.209,-0,NA,NA,0.152,0.091,0.004,0.021,0.002,0.014,0,0.03,0,NA,NA,-8.811,11.193,249.714,-9.941,-1.166,-3.627,3.312,6.985,-11.023,NA,NA,0,0,0,0,0.244,0,0.001,0,0,NA,NA
RCL,-22.432,3.617,0.962,1.363,-0.024,-0.083,0.044,0.564,-0,0.94,-1.535,1.771,0.281,0.004,0.139,0.026,0.074,0.003,0.212,0,0.454,0.393,-12.667,12.864,272.673,9.792,-0.914,-1.125,12.775,2.656,-15.658,2.068,-3.901,0,0,0,0,0.361,0.261,0,0.008,0,0.039,0
HES,-2.952,1.004,0.985,-0.107,0.071,0.084,0.016,0.709,-0,NA,0.534,0.771,0.157,0.004,0.074,0.035,0.025,0.002,0.121,0,NA,0.462,-3.827,6.382,260.573,-1.446,2.045,3.337,8.75,5.849,-6.861,NA,1.156,0,0,0,0.148,0.041,0.001,0,0,0,NA,0.248
