company,estimate_(Intercept),"estimate_lag(logS, 1)","estimate_lag(logS, 2)","estimate_lag(CDS, 1)","estimate_lag(CDS, 2)",estimate_SPY,estimate_L,estimate_Q,estimate_VIX,estimate_VIX_var,estimate_MC,estimate_U,estimate_D,std.error_(Intercept),"std.error_lag(logS, 1)","std.error_lag(logS, 2)","std.error_lag(CDS, 1)","std.error_lag(CDS, 2)",std.error_SPY,std.error_L,std.error_Q,std.error_VIX,std.error_VIX_var,std.error_MC,std.error_U,std.error_D,statistic_(Intercept),"statistic_lag(logS, 1)","statistic_lag(logS, 2)","statistic_lag(CDS, 1)","statistic_lag(CDS, 2)",statistic_SPY,statistic_L,statistic_Q,statistic_VIX,statistic_VIX_var,statistic_MC,statistic_U,statistic_D,p.value_(Intercept),"p.value_lag(logS, 1)","p.value_lag(logS, 2)","p.value_lag(CDS, 1)","p.value_lag(CDS, 2)",p.value_SPY,p.value_L,p.value_Q,p.value_VIX,p.value_VIX_var,p.value_MC,p.value_U,p.value_D
VZ,-1.077,-0.271,0.432,0.854,0.092,0.085,-0.006,-0.037,0.006,0.202,-0,NA,NA,0.434,0.326,0.31,0.023,0.022,0.023,0.002,0.014,0.001,0.043,0,NA,NA,-2.482,-0.831,1.395,37.814,4.138,3.767,-3.553,-2.739,8.569,4.676,-3.26,NA,NA,0.013,0.406,0.163,0,0,0,0,0.006,0,0,0.001,NA,NA
CAT,-0.004,-0.044,0.192,0.998,0.001,-0.065,-0.018,0.006,0,0.316,-0,NA,NA,0.173,0.134,0.118,0.024,0.024,0.027,0.009,0.046,0,0.025,0,NA,NA,-0.024,-0.327,1.624,41.812,0.034,-2.411,-1.899,0.125,0.97,12.516,-2.193,NA,NA,0.981,0.744,0.105,0,0.973,0.016,0.058,0.9,0.332,0,0.028,NA,NA
CVX,-1.709,-0.329,0.868,0.788,0.202,-0.024,-0.159,0.04,0.004,0.023,-0,-0.05,0.099,0.341,0.136,0.112,0.022,0.022,0.011,0.053,0.016,0,0.027,0,0.07,0.057,-5.011,-2.42,7.77,35.502,9.123,-2.242,-3.007,2.424,10.106,0.857,-6.897,-0.722,1.733,0,0.016,0,0,0,0.025,0.003,0.015,0,0.391,0,0.471,0.083
KO,-0.296,0.088,0.072,0.961,0.026,-0.036,-0.003,0.012,0,0.001,-0,-0,-0.018,0.134,0.094,0.074,0.022,0.022,0.011,0.003,0.008,0,0.011,0,0.04,0.028,-2.209,0.94,0.976,42.82,1.18,-3.256,-1.156,1.628,1.391,0.109,-1.535,-0,-0.621,0.027,0.348,0.329,0,0.238,0.001,0.248,0.104,0.164,0.913,0.125,1,0.535
DIS,-1.007,0.113,0.295,0.67,0.257,-0.059,-0.185,-0.006,0.003,0.092,-0,0.06,0.032,0.328,0.168,0.158,0.022,0.022,0.032,0.052,0.023,0,0.033,0,0.088,0.072,-3.066,0.672,1.867,30.589,11.722,-1.825,-3.578,-0.253,5.22,2.798,-7.146,0.679,0.44,0.002,0.501,0.062,0,0,0.068,0,0.8,0,0.005,0,0.497,0.66
XOM,-0.069,-0,0.015,1.036,-0.041,0.002,-0.012,-0.001,0,-0.011,-0,0.001,-0.053,0.073,0.046,0.041,0.022,0.022,0.004,0.013,0.01,0,0.009,0,0.035,0.025,-0.948,-0.007,0.377,46.247,-1.844,0.498,-0.944,-0.124,1.94,-1.136,-0.488,0.026,-2.134,0.343,0.995,0.706,0,0.065,0.619,0.346,0.902,0.053,0.256,0.626,0.98,0.033
HPQ,0.067,-0.096,0.183,0.932,0.064,-0.047,NA,0.121,0.001,0.379,-0,0.007,NA,0.329,0.195,0.191,0.024,0.024,0.048,NA,0.075,0.001,0.048,0,0.185,NA,0.203,-0.493,0.955,39.651,2.716,-0.986,NA,1.607,1.324,7.976,-1.314,0.04,NA,0.839,0.622,0.34,0,0.007,0.324,NA,0.108,0.186,0,0.189,0.968,NA
HD,-0.248,-0.559,0.584,0.822,0.161,0.012,0,-0.009,0,0.155,-0,NA,NA,0.197,0.095,0.093,0.023,0.023,0.028,0,0.015,0,0.016,0,NA,NA,-1.259,-5.918,6.244,35.065,6.899,0.418,0.917,-0.585,0.752,9.601,-1.384,NA,NA,0.208,0,0,0,0,0.676,0.359,0.558,0.452,0,0.167,NA,NA
IBM,-1.54,0.286,0.388,0.936,0.039,-0.14,-0.011,-0.083,0.001,0.208,-0,0.002,0.153,0.26,0.144,0.128,0.024,0.024,0.016,0.003,0.013,0,0.022,0,0.081,0.057,-5.92,1.991,3.033,39.555,1.66,-9.03,-3.114,-6.31,3.105,9.51,-10.739,0.027,2.681,0,0.047,0.002,0,0.097,0,0.002,0,0.002,0,0,0.979,0.007
JNJ,-1.286,0.523,-0.261,0.9,0.069,0.014,0.009,0.008,0,0.125,-0,NA,NA,0.256,0.126,0.112,0.022,0.022,0.017,0.008,0.004,0,0.016,0,NA,NA,-5.032,4.134,-2.326,40.36,3.108,0.861,1.128,1.824,1.178,8.033,-3.989,NA,NA,0,0,0.02,0,0.002,0.389,0.259,0.068,0.239,0,0,NA,NA
