company,estimate_(Intercept),"estimate_lag(logS, 1)","estimate_lag(logS, 2)","estimate_lag(logS, 3)","estimate_lag(CDS, 1)","estimate_lag(CDS, 2)","estimate_lag(CDS, 3)",estimate_SPY,estimate_L,estimate_Q,estimate_VIX,estimate_VIX_var,estimate_MC,estimate_U,estimate_D,std.error_(Intercept),"std.error_lag(logS, 1)","std.error_lag(logS, 2)","std.error_lag(logS, 3)","std.error_lag(CDS, 1)","std.error_lag(CDS, 2)","std.error_lag(CDS, 3)",std.error_SPY,std.error_L,std.error_Q,std.error_VIX,std.error_VIX_var,std.error_MC,std.error_U,std.error_D,statistic_(Intercept),"statistic_lag(logS, 1)","statistic_lag(logS, 2)","statistic_lag(logS, 3)","statistic_lag(CDS, 1)","statistic_lag(CDS, 2)","statistic_lag(CDS, 3)",statistic_SPY,statistic_L,statistic_Q,statistic_VIX,statistic_VIX_var,statistic_MC,statistic_U,statistic_D,p.value_(Intercept),"p.value_lag(logS, 1)","p.value_lag(logS, 2)","p.value_lag(logS, 3)","p.value_lag(CDS, 1)","p.value_lag(CDS, 2)","p.value_lag(CDS, 3)",p.value_SPY,p.value_L,p.value_Q,p.value_VIX,p.value_VIX_var,p.value_MC,p.value_U,p.value_D
VZ,-1.213,-0.297,-0.606,1.103,0.843,-0.005,0.111,0.085,-0.007,-0.036,0.006,0.207,-0,NA,NA,0.433,0.324,0.428,0.308,0.023,0.03,0.022,0.022,0.002,0.013,0.001,0.043,0,NA,NA,-2.802,-0.916,-1.417,3.578,37.433,-0.174,5.017,3.789,-3.851,-2.652,8.702,4.822,-3.323,NA,NA,0.005,0.36,0.157,0,0,0.862,0,0,0,0.008,0,0,0.001,NA,NA
CAT,0.011,-0.043,0.008,0.182,0.997,-0.023,0.025,-0.066,-0.018,0.007,0,0.318,-0,NA,NA,0.173,0.134,0.167,0.118,0.024,0.034,0.024,0.027,0.009,0.046,0,0.025,0,NA,NA,0.062,-0.324,0.049,1.542,41.716,-0.677,1.056,-2.472,-1.899,0.145,0.923,12.565,-2.14,NA,NA,0.951,0.746,0.961,0.123,0,0.499,0.291,0.014,0.058,0.885,0.356,0,0.032,NA,NA
CVX,-1.782,-0.346,0.305,0.586,0.778,0.242,-0.029,-0.019,-0.151,0.044,0.004,0.025,-0,-0.047,0.107,0.339,0.135,0.155,0.113,0.023,0.028,0.023,0.01,0.053,0.016,0,0.027,0,0.069,0.057,-5.262,-2.566,1.973,5.209,34.349,8.489,-1.291,-1.806,-2.862,2.667,9.402,0.945,-7.01,-0.677,1.891,0,0.01,0.049,0,0,0,0.197,0.071,0.004,0.008,0,0.345,0,0.498,0.059
KO,-0.304,0.095,-0.051,0.12,0.96,0.013,0.014,-0.037,-0.004,0.012,0,0.002,-0,-0.002,-0.018,0.134,0.094,0.105,0.074,0.022,0.031,0.022,0.011,0.003,0.008,0,0.011,0,0.04,0.028,-2.267,1.014,-0.488,1.633,42.758,0.424,0.623,-3.321,-1.203,1.643,1.174,0.176,-1.576,-0.055,-0.641,0.024,0.311,0.625,0.103,0,0.672,0.533,0.001,0.229,0.1,0.241,0.86,0.115,0.956,0.522
DIS,-0.923,0.061,-0.45,0.791,0.652,0.205,0.073,-0.065,-0.187,-0.001,0.002,0.096,-0,0.046,0.04,0.327,0.167,0.215,0.158,0.022,0.027,0.022,0.032,0.051,0.023,0,0.033,0,0.087,0.072,-2.819,0.365,-2.092,5.011,28.975,7.635,3.231,-2.031,-3.645,-0.039,4.612,2.935,-6.968,0.531,0.553,0.005,0.715,0.037,0,0,0,0.001,0.042,0,0.969,0,0.003,0,0.595,0.58
XOM,-0.059,-0.002,-0.022,0.036,1.038,-0.105,0.062,0.002,-0.01,-0.003,0,-0.01,-0,0.001,-0.05,0.073,0.046,0.057,0.041,0.022,0.032,0.022,0.004,0.013,0.01,0,0.009,0,0.035,0.025,-0.808,-0.047,-0.393,0.874,46.366,-3.257,2.769,0.515,-0.812,-0.262,1.896,-1.127,-0.268,0.021,-2.035,0.419,0.962,0.694,0.382,0,0.001,0.006,0.607,0.417,0.793,0.058,0.26,0.788,0.983,0.042
HPQ,0.047,-0.116,-0.146,0.348,0.932,0.064,0,-0.044,NA,0.121,0.001,0.384,-0,0.013,NA,0.33,0.196,0.267,0.191,0.024,0.033,0.024,0.048,NA,0.075,0.001,0.048,0,0.185,NA,0.143,-0.595,-0.548,1.816,39.591,1.978,0.004,-0.917,NA,1.606,1.047,8.067,-1.293,0.072,NA,0.886,0.552,0.584,0.069,0,0.048,0.996,0.359,NA,0.108,0.295,0,0.196,0.943,NA
HD,-0.218,-0.554,0.494,0.083,0.811,0.087,0.087,0.009,0,-0.007,0,0.156,-0,NA,NA,0.197,0.095,0.128,0.094,0.024,0.031,0.024,0.028,0,0.015,0,0.016,0,NA,NA,-1.106,-5.858,3.86,0.879,34.181,2.814,3.672,0.318,0.914,-0.461,0.703,9.704,-1.221,NA,NA,0.269,0,0,0.379,0,0.005,0,0.75,0.361,0.645,0.482,0,0.222,NA,NA
IBM,-1.542,0.271,0.226,0.173,0.934,0.021,0.021,-0.138,-0.01,-0.082,0.001,0.209,-0,0.003,0.153,0.261,0.144,0.175,0.128,0.024,0.033,0.024,0.016,0.003,0.013,0,0.022,0,0.081,0.057,-5.912,1.884,1.288,1.346,39.332,0.65,0.882,-8.88,-3.044,-6.256,3.037,9.54,-10.609,0.034,2.692,0,0.06,0.198,0.179,0,0.516,0.378,0,0.002,0,0.002,0,0,0.973,0.007
JNJ,-1.269,0.511,-0.189,-0.065,0.894,0.01,0.068,0.016,0.01,0.008,0,0.126,-0,NA,NA,0.256,0.126,0.159,0.112,0.022,0.03,0.022,0.017,0.008,0.004,0,0.016,0,NA,NA,-4.964,4.044,-1.185,-0.58,39.934,0.336,3.032,0.937,1.25,1.906,1.229,8.076,-3.923,NA,NA,0,0,0.236,0.562,0,0.737,0.002,0.349,0.212,0.057,0.219,0,0,NA,NA
MCD,-0.282,-0.461,-0.129,0.627,0.94,-0.038,0.085,0.016,-0,0.003,0,0.209,-0,NA,-0.067,0.128,0.121,0.162,0.118,0.023,0.031,0.022,0.021,0,0.004,0,0.018,0,NA,0.039,-2.196,-3.826,-0.797,5.299,41.468,-1.2,3.787,0.777,-1.472,0.856,0.399,11.737,-2.052,NA,-1.718,0.028,0,0.425,0,0,0.23,0,0.437,0.141,0.392,0.69,0,0.04,NA,0.086
