company,estimate_(Intercept),"estimate_lag(logS, 1)","estimate_lag(logS, 2)","estimate_lag(logS, 3)","estimate_lag(logS, 4)","estimate_lag(CDS, 1)","estimate_lag(CDS, 2)","estimate_lag(CDS, 3)","estimate_lag(CDS, 4)",estimate_SPY,estimate_L,estimate_Q,estimate_VIX,estimate_VIX_var,estimate_MC,estimate_U,estimate_D,std.error_(Intercept),"std.error_lag(logS, 1)","std.error_lag(logS, 2)","std.error_lag(logS, 3)","std.error_lag(logS, 4)","std.error_lag(CDS, 1)","std.error_lag(CDS, 2)","std.error_lag(CDS, 3)","std.error_lag(CDS, 4)",std.error_SPY,std.error_L,std.error_Q,std.error_VIX,std.error_VIX_var,std.error_MC,std.error_U,std.error_D,statistic_(Intercept),"statistic_lag(logS, 1)","statistic_lag(logS, 2)","statistic_lag(logS, 3)","statistic_lag(logS, 4)","statistic_lag(CDS, 1)","statistic_lag(CDS, 2)","statistic_lag(CDS, 3)","statistic_lag(CDS, 4)",statistic_SPY,statistic_L,statistic_Q,statistic_VIX,statistic_VIX_var,statistic_MC,statistic_U,statistic_D,p.value_(Intercept),"p.value_lag(logS, 1)","p.value_lag(logS, 2)","p.value_lag(logS, 3)","p.value_lag(logS, 4)","p.value_lag(CDS, 1)","p.value_lag(CDS, 2)","p.value_lag(CDS, 3)","p.value_lag(CDS, 4)",p.value_SPY,p.value_L,p.value_Q,p.value_VIX,p.value_VIX_var,p.value_MC,p.value_U,p.value_D
VZ,-1.405,-0.352,-0.601,-0.156,1.36,0.819,-0.002,-0.053,0.189,0.086,-0.008,-0.034,0.007,0.207,-0,NA,NA,0.427,0.318,0.419,0.42,0.303,0.022,0.029,0.029,0.022,0.022,0.002,0.013,0.001,0.042,0,NA,NA,-3.294,-1.105,-1.433,-0.371,4.485,36.78,-0.086,-1.842,8.676,3.896,-4.405,-2.603,9.321,4.926,-3.475,NA,NA,0.001,0.269,0.152,0.71,0,0,0.932,0.066,0,0,0,0.009,0,0,0.001,NA,NA
CAT,0.011,-0.04,0.019,0.151,0.026,0.996,-0.02,-0.043,0.068,-0.071,-0.018,0.017,0,0.319,-0,NA,NA,0.173,0.134,0.167,0.167,0.118,0.024,0.033,0.033,0.024,0.027,0.009,0.046,0,0.025,0,NA,NA,0.061,-0.3,0.113,0.901,0.22,41.731,-0.591,-1.292,2.856,-2.656,-1.97,0.364,1.024,12.637,-2.223,NA,NA,0.951,0.764,0.91,0.368,0.826,0,0.555,0.196,0.004,0.008,0.049,0.716,0.306,0,0.026,NA,NA
CVX,-1.77,-0.343,0.307,0.637,-0.056,0.781,0.237,-0.048,0.02,-0.02,-0.152,0.044,0.004,0.024,-0,-0.047,0.106,0.339,0.135,0.155,0.155,0.114,0.023,0.029,0.029,0.022,0.011,0.053,0.016,0,0.027,0,0.069,0.057,-5.224,-2.539,1.983,4.111,-0.491,34.113,8.196,-1.645,0.89,-1.899,-2.887,2.668,9.478,0.891,-7.003,-0.683,1.875,0,0.011,0.047,0,0.623,0,0,0.1,0.374,0.058,0.004,0.008,0,0.373,0,0.495,0.061
KO,-0.304,0.097,-0.055,0.132,-0.01,0.96,0.013,0.027,-0.014,-0.037,-0.004,0.012,0,0.002,-0,-0.002,-0.018,0.134,0.094,0.105,0.105,0.074,0.022,0.031,0.031,0.022,0.011,0.003,0.008,0,0.011,0,0.04,0.028,-2.264,1.027,-0.519,1.252,-0.135,42.71,0.428,0.876,-0.618,-3.285,-1.193,1.618,1.167,0.18,-1.57,-0.052,-0.649,0.024,0.304,0.604,0.211,0.892,0,0.669,0.381,0.537,0.001,0.233,0.106,0.243,0.857,0.116,0.958,0.517
DIS,-0.799,-0.016,-0.407,0.189,0.622,0.632,0.174,-0.047,0.178,-0.073,-0.184,0.005,0.002,0.112,-0,0.033,-0.021,0.323,0.165,0.212,0.212,0.156,0.022,0.027,0.027,0.022,0.032,0.051,0.022,0,0.032,0,0.086,0.071,-2.471,-0.099,-1.921,0.889,3.988,28.319,6.452,-1.756,7.963,-2.294,-3.629,0.211,4.359,3.483,-6.653,0.383,-0.293,0.014,0.921,0.055,0.374,0,0,0,0.079,0,0.022,0,0.833,0,0.001,0,0.702,0.77
XOM,-0.054,-0.001,-0.025,-0.02,0.055,1.034,-0.099,0.008,0.052,0.002,-0.009,-0.004,0,-0.01,-0,0,-0.048,0.073,0.046,0.057,0.057,0.041,0.022,0.032,0.032,0.022,0.004,0.013,0.01,0,0.009,0,0.035,0.025,-0.747,-0.017,-0.445,-0.358,1.352,46.117,-3.068,0.255,2.336,0.566,-0.686,-0.383,1.841,-1.078,-0.119,0.01,-1.921,0.455,0.986,0.657,0.72,0.176,0,0.002,0.799,0.02,0.571,0.493,0.702,0.066,0.281,0.905,0.992,0.055
HPQ,0.059,-0.105,-0.121,0.557,-0.246,0.934,0.06,-0.056,0.058,-0.046,NA,0.117,0.001,0.385,-0,0.026,NA,0.329,0.196,0.266,0.266,0.191,0.024,0.033,0.033,0.024,0.048,NA,0.075,0.001,0.048,0,0.184,NA,0.179,-0.536,-0.453,2.092,-1.291,39.744,1.84,-1.713,2.475,-0.96,NA,1.56,1.301,8.085,-1.199,0.143,NA,0.858,0.592,0.651,0.037,0.197,0,0.066,0.087,0.013,0.337,NA,0.119,0.194,0,0.231,0.886,NA
HD,-0.207,-0.561,0.51,0.139,-0.067,0.805,0.087,0.03,0.064,0.01,0,-0.004,0,0.159,-0,NA,NA,0.197,0.094,0.128,0.128,0.094,0.024,0.031,0.031,0.024,0.028,0,0.015,0,0.016,0,NA,NA,-1.051,-5.945,3.99,1.084,-0.719,33.912,2.824,0.961,2.703,0.338,0.822,-0.284,0.882,9.859,-1.134,NA,NA,0.293,0,0,0.279,0.472,0,0.005,0.337,0.007,0.735,0.411,0.776,0.378,0,0.257,NA,NA
IBM,-1.549,0.279,0.212,0.025,0.149,0.933,0.02,-0.073,0.098,-0.136,-0.01,-0.081,0.001,0.21,-0,0.004,0.156,0.261,0.144,0.175,0.175,0.128,0.024,0.033,0.033,0.024,0.016,0.003,0.013,0,0.022,0,0.08,0.057,-5.941,1.947,1.212,0.145,1.164,39.444,0.6,-2.252,4.143,-8.752,-2.922,-6.148,3.214,9.616,-10.507,0.046,2.756,0,0.052,0.226,0.885,0.245,0,0.549,0.024,0,0,0.004,0,0.001,0,0,0.963,0.006
JNJ,-1.25,0.511,-0.196,-0.263,0.2,0.888,0.01,-0.033,0.109,0.015,0.011,0.009,0,0.127,-0,NA,NA,0.255,0.126,0.159,0.159,0.111,0.022,0.03,0.03,0.022,0.017,0.008,0.004,0,0.015,0,NA,NA,-4.91,4.07,-1.233,-1.654,1.798,39.776,0.318,-1.09,4.907,0.902,1.422,2.041,1.091,8.177,-3.838,NA,NA,0,0,0.218,0.098,0.072,0,0.75,0.276,0,0.367,0.155,0.041,0.275,0,0,NA,NA
