company,estimate_(Intercept),"estimate_lag(logS, 1)","estimate_lag(logS, 2)","estimate_lag(logS, 3)","estimate_lag(logS, 4)","estimate_lag(logS, 5)","estimate_lag(CDS, 1)","estimate_lag(CDS, 2)","estimate_lag(CDS, 3)","estimate_lag(CDS, 4)","estimate_lag(CDS, 5)",estimate_SPY,estimate_L,estimate_Q,estimate_VIX,estimate_VIX_var,estimate_MC,estimate_U,estimate_D,std.error_(Intercept),"std.error_lag(logS, 1)","std.error_lag(logS, 2)","std.error_lag(logS, 3)","std.error_lag(logS, 4)","std.error_lag(logS, 5)","std.error_lag(CDS, 1)","std.error_lag(CDS, 2)","std.error_lag(CDS, 3)","std.error_lag(CDS, 4)","std.error_lag(CDS, 5)",std.error_SPY,std.error_L,std.error_Q,std.error_VIX,std.error_VIX_var,std.error_MC,std.error_U,std.error_D,statistic_(Intercept),"statistic_lag(logS, 1)","statistic_lag(logS, 2)","statistic_lag(logS, 3)","statistic_lag(logS, 4)","statistic_lag(logS, 5)","statistic_lag(CDS, 1)","statistic_lag(CDS, 2)","statistic_lag(CDS, 3)","statistic_lag(CDS, 4)","statistic_lag(CDS, 5)",statistic_SPY,statistic_L,statistic_Q,statistic_VIX,statistic_VIX_var,statistic_MC,statistic_U,statistic_D,p.value_(Intercept),"p.value_lag(logS, 1)","p.value_lag(logS, 2)","p.value_lag(logS, 3)","p.value_lag(logS, 4)","p.value_lag(logS, 5)","p.value_lag(CDS, 1)","p.value_lag(CDS, 2)","p.value_lag(CDS, 3)","p.value_lag(CDS, 4)","p.value_lag(CDS, 5)",p.value_SPY,p.value_L,p.value_Q,p.value_VIX,p.value_VIX_var,p.value_MC,p.value_U,p.value_D
VZ,-1.354,-0.278,-0.642,-0.134,1.726,-0.433,0.838,-0.008,-0.054,0.272,-0.097,0.086,-0.007,-0.034,0.006,0.215,-0,NA,NA,0.427,0.318,0.418,0.419,0.419,0.304,0.023,0.029,0.029,0.029,0.022,0.022,0.002,0.013,0.001,0.042,0,NA,NA,-3.174,-0.876,-1.535,-0.32,4.123,-1.423,37.039,-0.283,-1.867,9.428,-4.379,3.904,-4.174,-2.628,8.93,5.118,-3.479,NA,NA,0.002,0.381,0.125,0.749,0,0.155,0,0.777,0.062,0,0,0,0,0.009,0,0,0.001,NA,NA
CAT,0.012,-0.05,0.035,0.151,-0.145,0.169,0.994,-0.019,-0.043,0.04,0.029,-0.074,-0.019,0.02,0,0.319,-0,NA,NA,0.173,0.134,0.167,0.167,0.167,0.118,0.024,0.034,0.034,0.034,0.024,0.027,0.009,0.046,0,0.025,0,NA,NA,0.071,-0.376,0.207,0.902,-0.868,1.433,41.544,-0.557,-1.286,1.19,1.203,-2.736,-1.994,0.438,0.958,12.62,-2.245,NA,NA,0.943,0.707,0.836,0.367,0.386,0.152,0,0.577,0.199,0.234,0.229,0.006,0.046,0.661,0.338,0,0.025,NA,NA
CVX,-1.76,-0.352,0.315,0.633,-0.005,-0.052,0.782,0.236,-0.041,0.047,-0.033,-0.019,-0.15,0.043,0.004,0.028,-0,-0.045,0.106,0.339,0.136,0.155,0.155,0.156,0.114,0.023,0.029,0.029,0.029,0.023,0.011,0.053,0.016,0,0.027,0,0.069,0.057,-5.185,-2.597,2.03,4.087,-0.031,-0.461,34.118,8.089,-1.374,1.601,-1.477,-1.782,-2.847,2.592,9.142,1.028,-6.929,-0.645,1.868,0,0.009,0.042,0,0.975,0.645,0,0,0.17,0.11,0.14,0.075,0.004,0.01,0,0.304,0,0.519,0.062
KO,-0.293,0.091,-0.048,0.122,0.108,-0.115,0.96,0.015,0.027,0.005,-0.02,-0.035,-0.003,0.012,0,0.002,-0,-0.001,-0.019,0.134,0.094,0.105,0.105,0.105,0.074,0.022,0.031,0.031,0.031,0.022,0.011,0.003,0.008,0,0.011,0,0.04,0.028,-2.182,0.967,-0.459,1.155,1.031,-1.561,42.686,0.491,0.863,0.165,-0.891,-3.169,-1.136,1.578,1.325,0.141,-1.506,-0.032,-0.655,0.029,0.333,0.646,0.248,0.303,0.119,0,0.623,0.388,0.869,0.373,0.002,0.256,0.115,0.185,0.888,0.132,0.974,0.512
DIS,-0.882,0.032,-0.409,0.174,1,-0.413,0.654,0.172,-0.032,0.252,-0.112,-0.063,-0.176,0.002,0.002,0.115,-0,0.036,-0.011,0.322,0.164,0.211,0.211,0.211,0.156,0.023,0.027,0.027,0.027,0.022,0.032,0.05,0.022,0,0.032,0,0.086,0.071,-2.737,0.195,-1.938,0.821,4.733,-2.652,28.958,6.405,-1.179,9.406,-4.99,-1.994,-3.491,0.089,4.523,3.586,-6.752,0.418,-0.161,0.006,0.845,0.053,0.412,0,0.008,0,0,0.238,0,0,0.046,0,0.929,0,0,0,0.676,0.872
XOM,-0.054,-0.001,-0.025,-0.021,0.047,0.008,1.033,-0.099,0.009,0.047,0.005,0.002,-0.009,-0.004,0,-0.01,-0,0,-0.048,0.073,0.046,0.057,0.057,0.057,0.041,0.022,0.032,0.032,0.032,0.022,0.004,0.013,0.01,0,0.009,0,0.035,0.025,-0.742,-0.02,-0.438,-0.364,0.82,0.203,45.973,-3.067,0.272,1.469,0.217,0.572,-0.677,-0.391,1.828,-1.069,-0.106,0.011,-1.924,0.458,0.984,0.661,0.716,0.412,0.839,0,0.002,0.786,0.142,0.828,0.567,0.499,0.696,0.068,0.285,0.916,0.992,0.054
HPQ,0.107,-0.081,-0.114,0.529,0.579,-0.827,0.935,0.062,-0.055,0.136,-0.082,-0.053,NA,0.12,0.001,0.38,-0,0.077,NA,0.328,0.195,0.265,0.265,0.265,0.19,0.023,0.032,0.032,0.032,0.023,0.048,NA,0.075,0.001,0.047,0,0.184,NA,0.327,-0.415,-0.429,1.997,2.187,-4.353,39.891,1.905,-1.693,4.201,-3.501,-1.112,NA,1.598,1.755,8.024,-1.345,0.418,NA,0.743,0.678,0.668,0.046,0.029,0,0,0.057,0.091,0,0,0.266,NA,0.11,0.079,0,0.179,0.676,NA
HD,-0.218,-0.569,0.516,0.154,0.077,-0.159,0.802,0.088,0.035,0.045,0.017,0.012,0,-0.003,0,0.157,-0,NA,NA,0.197,0.094,0.128,0.128,0.128,0.094,0.024,0.031,0.031,0.031,0.024,0.028,0,0.015,0,0.016,0,NA,NA,-1.106,-6.025,4.037,1.203,0.602,-1.695,33.68,2.851,1.118,1.464,0.724,0.418,0.768,-0.211,1.099,9.725,-1.186,NA,NA,0.269,0,0,0.229,0.547,0.09,0,0.004,0.264,0.143,0.469,0.676,0.442,0.833,0.272,0,0.236,NA,NA
IBM,-1.517,0.319,0.157,0.04,0.369,-0.224,0.948,0.006,-0.071,0.224,-0.132,-0.138,-0.01,-0.083,0.001,0.214,-0,0.003,0.154,0.259,0.143,0.174,0.174,0.174,0.127,0.024,0.032,0.032,0.032,0.024,0.015,0.003,0.013,0,0.022,0,0.08,0.056,-5.849,2.239,0.902,0.233,2.125,-1.765,40.144,0.199,-2.205,6.919,-5.58,-8.9,-3.074,-6.342,3.006,9.89,-10.59,0.037,2.736,0,0.025,0.367,0.816,0.034,0.078,0,0.842,0.028,0,0,0,0.002,0,0.003,0,0,0.971,0.006
JNJ,-1.255,0.506,-0.183,-0.261,-0.065,0.261,0.885,0.013,-0.031,0.091,0.015,0.013,0.011,0.009,0,0.127,-0,NA,NA,0.255,0.126,0.159,0.159,0.159,0.112,0.022,0.03,0.03,0.03,0.022,0.017,0.008,0.004,0,0.015,0,NA,NA,-4.931,4.025,-1.156,-1.647,-0.408,2.341,39.402,0.433,-1.023,3.017,0.692,0.779,1.44,2.065,0.904,8.226,-3.827,NA,NA,0,0,0.248,0.1,0.683,0.019,0,0.665,0.307,0.003,0.489,0.436,0.15,0.039,0.366,0,0,NA,NA
MCD,-0.288,-0.468,-0.07,0.636,0.355,-0.424,0.937,-0.024,0.001,0.122,-0.049,0.02,-0,0.003,0,0.209,-0,NA,-0.068,0.128,0.12,0.162,0.162,0.162,0.118,0.023,0.031,0.031,0.031,0.023,0.021,0,0.004,0,0.018,0,NA,0.039,-2.25,-3.885,-0.43,3.932,2.183,-3.582,41.045,-0.754,0.026,3.914,-2.169,0.977,-1.262,0.912,0.977,11.824,-1.977,NA,-1.731,0.025,0,0.667,0,0.029,0,0,0.451,0.979,0,0.03,0.329,0.207,0.362,0.329,0,0.048,NA,0.084
PFE,-0.514,0.284,0.017,-0.042,-0.066,0.201,0.937,-0.021,-0.031,0.149,-0.051,-0.08,0.002,0.005,-0,0.171,-0,0.008,0.011,0.09,0.111,0.132,0.132,0.132,0.093,0.022,0.031,0.031,0.031,0.022,0.015,0.002,0.004,0,0.017,0,0.045,0.037,-5.702,2.552,0.129,-0.321,-0.503,2.152,41.879,-0.691,-1.016,4.873,-2.273,-5.2,1.06,1.286,-1.281,10.368,-5.744,0.181,0.299,0,0.011,0.897,0.748,0.615,0.032,0,0.49,0.31,0,0.023,0,0.289,0.199,0.2,0,0,0.857,0.765
PG,-0.659,0.438,-0.187,-0.569,0.24,0.2,0.902,-0.024,-0.037,0.196,-0.054,0.023,0.009,-0.035,0,0.163,-0,NA,NA,0.196,0.131,0.169,0.169,0.17,0.12,0.023,0.03,0.03,0.03,0.023,0.017,0.01,0.026,0,0.017,0,NA,NA,-3.363,3.337,-1.103,-3.356,1.419,1.663,39.872,-0.8,-1.236,6.47,-2.397,1.364,0.942,-1.342,0.25,9.72,-2.837,NA,NA,0.001,0.001,0.27,0.001,0.156,0.097,0,0.424,0.217,0,0.017,0.173,0.346,0.18,0.802,0,0.005,NA,NA
