Monthly,Exports-USD-miil,Imports-US-mill,Balance of Trade
Aug-23,2422,4290,-1868
Jul-23,2120,4200,-2080
Jun-23,2119,3177,-1058
May-23,2603,3769,-1166
Apr-23,2101,3677,-1576
Mar-23,2423,3938,-1515
Feb-23,2201,3884,-1683
Jan-23,2224,3892,-1668
Dec-22,2310,4265,-1955
Nov-22,2249,4343,-2094
Oct-22,2282,4654,-2372
Sep-22,2440,4905,-2465
Aug-22,2734,5958,-3224
Jul-22,2217,5517,-3300
Jun-22,3128,7110,-3982
May-22,2496,5628,-3132
Apr-22,3147,5960,-2813
Mar-22,3069.030897,6117.020923,-3047.990026
Feb-22,2889.027101,5039.045075,-2150.017973
Jan-22,2499.980685,6202.987791,-3703.007106
Dec-21,2928.997327,6430.971281,-3501.973954
Nov-21,2737.033071,6339.026476,-3601.993405
Oct-21,2375.049751,5929.975787,-3554.926036
Sep-21,2626.745308,6056.965589,-3430.220281
Aug-21,2339.02002,5966.964248,-3627.944227
Jul-21,2235.038702,5371.039805,-3136.001103
Jun-21,2492.011247,6329.962247,-3837.951001
May-21,2129.96618,4954.981501,-2825.015321
Apr-21,2303.953925,4998.012319,-2694.058394
Mar-21,2611.007351,5412.026493,-2801.019142
Feb-21,2178.042811,4496.021553,-2317.978742
Jan-21,2100.027326,4425.995386,-2325.96806
Dec-20,2253.004638,5014.977099,-2761.972461
Nov-20,2238.982102,4066.952796,-1827.970694
Oct-20,1968.958131,3482.032911,-1513.07478
Sep-20,1954.988952,3839.013187,-1884.024235
Aug-20,1513.991452,3241.023446,-1727.031994
Jul-20,1884.999593,3557.005363,-1672.00577
Jun-20,1581.973962,3559.021184,-1977.047222
May-20,1258.974929,2800.041505,-1541.066575
Apr-20,1406.951636,3139.971662,-1733.020026
Mar-20,1821,3310,-1645
Feb-20,1992.998223,3560.959266,-1567.961043
Jan-20,2053.034314,3907.979246,-1854.944932
Dec-19,2108.04247,3791.007532,-1682.965061
Nov-19,2110.973296,3682.029556,-1571.056259
Oct-19,2188.958207,3630.007486,-1441.049278
Sep-19,1878.966636,3328.973939,-1450.007303
Aug-19,1888.972361,3519.03465,-1630.06229
Jul-19,2216.963175,4184.96855,-1968.005375
Jun-19,1799.014814,4037.982391,-2238.967576
May-19,2323.019704,4384.031165,-2061.011462
Apr-19,2084.037729,4134.962614,-2050.924885
Mar-19,2036.985732,4118.006854,-2081.021121
Feb-19,1874.951092,3406.953461,-1532.002369
Jan-19,2273.953884,4284.988903,-2011.035018
Dec-18,2012.983651,4775.967135,-2762.983483
Nov-18,1898.013519,4141.998315,-2243.984796
Oct-18,2060.99063,4680.022138,-2619.031508
