id,country,countrycode,year,rr_full,rr_ini,rr_cris,rr_mult,lv_full,lv_ini,lv_cris,lv_mult,ck_full,ck_ini,ck_cris,ck_mult,dd_full,dd_ini,dd_cris,dd_mult,rgdpgr,wrgdpgr,frgdpgr,wfrgdpgr,lngdppc,wlngdppc,flngdppc,wflngdppc,deprec,wdeprec,fdeprec,wfdeprec,m2res,wm2res,fm2res,wfm2res,wrir,rir,frir,wfrir,totch,wtotch,ftotch,wftotch,infl,winfl,finfl,wfinfl,liq,wliq,fliq,wfliq,credgr,wcredgr,fcredgr,wfcredgr,nfagdp,wnfagdp,fnfagdp,wfnfagdp,var61,var62,var63,durfin,sub,anni,_merge,duratamediaperpaese,_est_spec2,_est_spec3,pra,prb,prc,dur,dur1,cris,cris1,avedur,xxx,duration,_est_spec1,_est_all,_est_partial,pr0,pr1,pr2,prlogit1,prlogit2,class,binaryclass,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8,prob9,prob10
1,Algeria,DZA,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,7.53,7.53,7.53,7.53,12.47,12.47,12.47,12.47,4.28,4.28,4.28,4.28,-11.35,-11.35,-11.35,-11.35,-3.05,-3.05,-3.05,-3.05,14.35,14.35,14.35,14.35,158.2,158.2,158.2,158.2,8.77,8.77,8.77,8.77,4.91,4.91,4.91,4.91,1,1982,0,3,2,3,matched (3),0.1034483,1,1,0.8175824,0.0446482,0.1377694,0,2,0,1,3,1248,3,1,1,1,0.9060366,0.0279292,0.0660342,0.0361352,0.031974,1,0,0.5017632,0.5010264,0.4665179,0.4937885,0.5850724,0.5229223,0.4845837,0.4278423,0.4937885,0.4845346
1,Algeria,DZA,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,6.4,6.4,6.4,7.56,7.56,7.56,7.56,6.4,6.4,6.4,6.4,6.04,6.04,6.04,6.04,1.06,1.06,1.06,1.06,-3.85,-3.85,-3.85,-3.85,1.94,1.94,1.94,1.94,141.74,141.74,141.74,141.74,19.11,19.11,19.11,19.11,2.72,2.72,2.72,2.72,1,1983,0,3,2,3,matched (3),0.1034483,1,1,0.8324471,0.046351,0.121202,0,2,0,1,3,1249,3,1,1,1,0.9148445,0.037332,0.0478236,0.0389604,0.0392644,1,0,0.491765,0.5002096,0.4753862,0.4553871,0.5594189,0.5740819,0.5001104,0.48333,0.4553871,0.5550078
1,Algeria,DZA,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,5.4,5.4,5.4,7.58,7.58,7.58,7.58,4.28,4.28,4.28,4.28,8.64,8.64,8.64,8.64,-3.8,-3.8,-3.8,-3.8,-0.25,-0.25,-0.25,-0.25,6.8,6.8,6.8,6.8,139.02,139.02,139.02,139.02,5.98,5.98,5.98,5.98,0.86,0.86,0.86,0.86,1,1984,0,3,2,3,matched (3),0.1034483,1,1,0.8167936,0.0441126,0.1390938,0,2,0,1,3,1250,3,1,1,1,0.903768,0.0306259,0.0656061,0.0330086,0.03262,1,0,0.4947053,0.499665,0.4885141,0.470388,0.5551451,0.5089893,0.5132985,0.461474,0.470388,0.5026742
1,Algeria,DZA,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5.6,5.6,5.6,7.61,7.61,7.61,7.61,4.06,4.06,4.06,4.06,12.27,12.27,12.27,12.27,-5.43,-5.43,-5.43,-5.43,1.87,1.87,1.87,1.87,8.43,8.43,8.43,8.43,135.09,135.09,135.09,135.09,0.74,0.74,0.74,0.74,-1.79,-1.79,-1.79,-1.79,1,1985,0,3,2,3,matched (3),0.1034483,1,1,0.8031511,0.0450006,0.1518483,0,2,0,1,3,1251,3,1,1,1,0.8958512,0.030499,0.0736498,0.0323988,0.0320512,1,0,0.4941172,0.4988482,0.5068651,0.4754326,0.5489558,0.4828007,0.5320515,0.4541726,0.4754326,0.5001445
1,Algeria,DZA,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,3.7,3.7,3.7,7.61,7.61,7.61,7.61,0.89,0.89,0.89,0.89,9.59,9.59,9.59,9.59,-1.97,-1.97,-1.97,-1.97,5.02,5.02,5.02,5.02,4.97,4.97,4.97,4.97,131.79,131.79,131.79,131.79,2.75,2.75,2.75,2.75,-2.77,-2.77,-2.77,-2.77,1,1986,0,3,2,3,matched (3),0.1034483,1,1,0.8103443,0.0443474,0.1453083,0,2,0,1,3,1252,3,1,1,1,0.8813664,0.0289092,0.0897244,0.0315885,0.0321589,1,0,0.4997046,0.4988482,0.4933157,0.4647318,0.5437469,0.492843,0.5389665,0.4696909,0.4647318,0.4915083
1,Algeria,DZA,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,7.59,7.59,7.59,7.59,-6.47,-6.47,-6.47,-6.47,12.56,12.56,12.56,12.56,1.59,1.59,1.59,1.59,-31.55,-31.55,-31.55,-31.55,2.41,2.41,2.41,2.41,139.45,139.45,139.45,139.45,6.55,6.55,6.55,6.55,-7.97,-7.97,-7.97,-7.97,1,1987,0,3,2,3,matched (3),0.1034483,1,1,0.7854902,0.0524868,0.162023,0,2,0,1,3,1253,3,1,1,1,0.8533877,0.0332748,0.1133375,0.0388094,0.0417042,1,0,0.5094085,0.4993927,0.508331,0.4568347,0.5558213,0.5118377,0.5753461,0.4857188,0.4568347,0.544199
1,Algeria,DZA,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,-0.7,-0.7,-0.7,7.55,7.55,7.55,7.55,3.14,3.14,3.14,3.14,12.24,12.24,12.24,12.24,-4.84,-4.84,-4.84,-4.84,50.33,50.33,50.33,50.33,8.84,8.84,8.84,8.84,124.31,124.31,124.31,124.31,-0.82,-0.82,-0.82,-0.82,-9.4,-9.4,-9.4,-9.4,1,1988,0,3,2,3,matched (3),0.1034483,1,1,0.7917706,0.0473775,0.1608518,0,2,0,1,3,1254,3,1,1,1,0.7831733,0.0264861,0.1903407,0.0338602,0.0340109,1,0,0.5126418,0.5004818,0.5067134,0.4767023,0.5319063,0.4750158,0.5852259,0.4568133,0.4767023,0.4865695
1,Algeria,DZA,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,7.51,7.51,7.51,7.51,21.96,21.96,21.96,21.96,15.52,15.52,15.52,15.52,-5.06,-5.06,-5.06,-5.06,-18.49,-18.49,-18.49,-18.49,9.06,9.06,9.06,9.06,117.6,117.6,117.6,117.6,-3.77,-3.77,-3.77,-3.77,-12.7,-12.7,-12.7,-12.7,1,1989,0,3,2,3,matched (3),0.1034483,1,1,0.7806779,0.0486877,0.1706344,0,2,0,1,3,1255,3,1,1,1,0.8229753,0.0268544,0.1501703,0.0341101,0.0349548,1,0,0.5135235,0.501571,0.5232808,0.4773837,0.5212535,0.4603306,0.6077535,0.4558283,0.4773837,0.4933613
1,Algeria,DZA,1990,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.4,4.4,4.4,4.4,7.53,7.53,7.53,7.53,28.64,28.64,28.64,28.64,13.12,13.12,13.12,13.12,-8.01,-8.01,-8.01,-8.01,-1.52,-1.52,-1.52,-1.52,16.01,16.01,16.01,16.01,122.59,122.59,122.59,122.59,-9.33,-9.33,-9.33,-9.33,-12.72,-12.72,-12.72,-12.72,1,1990,1,3,2,3,matched (3),0.1034483,1,1,0.7739369,0.0469005,0.1791626,0,2,1,1,3,1256,3,1,1,1,0.865678,0.0299385,0.1043836,0.0322817,0.0322821,2,1,0.497646,0.5010264,0.5111613,0.4989408,0.529178,0.4328588,0.6078887,0.4426571,0.4989408,0.4986831
1,Algeria,DZA,1991,1,0,,2,1,0,,2,1,0,,2,1,0,,2,0.8,0.8,0.8,0.8,7.51,7.51,7.51,7.51,17.73,17.73,17.73,17.73,14.18,14.18,14.18,14.18,-22.26,-22.26,-22.26,-22.26,39.32,39.32,39.32,39.32,30.26,30.26,30.26,30.26,128.13,128.13,128.13,128.13,-13.53,-13.53,-13.53,-13.53,-15.5,-15.5,-15.5,-15.5,1,1991,2,3,2,3,matched (3),0.1034483,1,1,0.7512209,0.0493477,0.1994313,1,2,0,1,3,1257,3,1,0,1,0.8110523,0.0260213,0.1629264,0.036722,0.0308989,3,,0.5082325,0.501571,0.5165165,0.5430652,0.5379586,0.4123679,0.6265185,0.380472,0.5430652,0.4713422
1,Algeria,DZA,1992,1,0,,2,1,0,,2,1,0,,2,1,0,,2,-1.2,-1.2,-1.2,-1.2,7.48,7.48,7.48,7.48,106.23,106.23,106.23,106.23,6.49,6.49,6.49,6.49,-45.79,-45.79,-45.79,-45.79,-17.95,-17.95,-17.95,-17.95,53.79,53.79,53.79,53.79,135.52,135.52,135.52,135.52,-21.84,-21.84,-21.84,-21.84,-15.71,-15.71,-15.71,-15.71,1,1992,2,3,2,3,matched (3),0.1034483,1,1,0.746824,0.0452909,0.2078851,1,2,0,1,3,1258,3,1,0,1,0.8792271,0.0178939,0.102879,0.0362867,0.0221913,3,,0.5141113,0.5023878,0.4776565,0.6141601,0.5496338,0.3727675,0.6279114,0.2865549,0.6141601,0.3790168
1,Algeria,DZA,1993,0,0,0,0,1,0,,2,0,0,0,0,0,0,0,0,1.8,1.8,1.8,1.8,7.47,7.47,7.47,7.47,18.21,18.21,18.21,18.21,7.52,7.52,7.52,7.52,-13.93,-13.93,-13.93,-13.93,-14.1,-14.1,-14.1,-14.1,21.93,21.93,21.93,21.93,25.95,25.95,25.95,25.95,-39.21,-39.21,-39.21,-36.76,-11.54,-11.54,-11.54,-11.54,1,1993,0,3,2,3,matched (3),0.1034483,1,1,0.854499,0.0220577,0.1234433,0,2,0,1,3,1259,3,1,0,1,0.8723862,0.009545,0.1180689,0.011564,0.0109417,1,0,0.5052921,0.5026601,0.482856,0.5173093,0.3778653,0.3060352,0.5998816,0.4164851,0.5173093,0.2384783
1,Algeria,DZA,1994,0,0,0,0,1,0,,2,0,0,0,0,0,0,0,0,-2.1,-2.1,-2.1,-2.1,7.43,7.43,7.43,7.43,6.91,6.91,6.91,6.91,6.85,6.85,6.85,6.85,-5.62,-5.62,-5.62,-5.62,-11.24,-11.24,-11.24,-11.24,13.62,13.62,13.62,13.62,19.89,19.89,19.89,19.89,-73.11,-47.92,-73.11,-36.76,-7.7,-7.7,-7.7,-7.7,1,1994,0,3,2,3,matched (3),0.1034483,1,1,0.8399195,0.0155019,0.1445786,0,2,0,1,3,1260,3,1,0,1,0.8078711,0.0076834,0.1844455,0.0096954,0.0103203,1,0,0.5167555,0.5037492,0.4794733,0.4915231,0.3688362,0.3060352,0.5734737,0.4533227,0.4915231,0.2137734
1,Algeria,DZA,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9,-0.9,-0.9,-0.9,7.4,7.4,7.4,7.4,50.17,50.17,50.17,50.17,4.01,4.01,4.01,4.01,-17.08,-17.08,-17.08,-17.08,-11.27,-11.27,-11.27,-11.27,29.08,29.08,29.08,29.08,21.78,21.78,21.78,21.78,-8.26,-8.26,-8.26,-8.26,-5.3,-5.3,-5.3,-5.3,1,1995,0,3,2,3,matched (3),0.1034483,1,1,0.8932509,0.0234929,0.0832562,0,2,0,1,3,1261,3,1,1,1,0.9064732,0.0126642,0.0808626,0.0186796,0.015507,1,0,0.5132297,0.504566,0.4651591,0.5394275,0.3716427,0.438119,0.5567431,0.402739,0.5394275,0.2976159
