Period,Exports,Imports,Balance of Trade
Monthly,US$  (Millions),US$  (Millions),US$  (Millions)
Aug 2023,2422,4290,-1868
Jul 2023,2120,4200,-2080
Jun 2023,2119,3177,-1058
May 2023,2603,3769,-1166
Apr 2023,2101,3677,-1576
Mar 2023,2423,3938,-1515
Feb 2023,2201,3884,-1683
Jan 2023,2224,3892,-1668
Dec 2022,2310,4265,-1955
Nov 2022,2249,4343,-2094
Oct 2022,2282,4654,-2372
Sep 2022,2440,4905,-2465
Aug 2022,2734,5958,-3224
Jul 2022,2217,5517,-3300
Jun 2022,3128,7110,-3982
May 2022,2496,5628,-3132
Apr 2022,3147,5960,-2813
Mar 2022,3069.030897,6117.020923,-3047.990026
Feb 2022,2889.027101,5039.045075,-2150.017973
Jan 2022,2499.980685,6202.987791,-3703.007106
Dec 2021,2928.997327,6430.971281,-3501.973954
Nov 2021,2737.033071,6339.026476,-3601.993405
Oct 2021,2375.049751,5929.975787,-3554.926036
Sep 2021,2626.745308,6056.965589,-3430.220281
Aug 2021,2339.020020,5966.964248,-3627.944227
Jul 2021,2235.038702,5371.039805,-3136.001103
Jun 2021,2492.011247,6329.962247,-3837.951001
May 2021,2129.966180,4954.981501,-2825.015321
Apr 2021,2303.953925,4998.012319,-2694.058394
Mar 2021,2611.007351,5412.026493,-2801.019142
Feb 2021,2178.042811,4496.021553,-2317.978742
Jan 2021,2100.027326,4425.995386,-2325.968060
Dec 2020,2253.004638,5014.977099,-2761.972461
Nov 2020,2238.982102,4066.952796,-1827.970694
Oct 2020,1968.958131,3482.032911,-1513.074780
Sep 2020,1954.988952,3839.013187,-1884.024235
Aug 2020,1513.991452,3241.023446,-1727.031994
Jul 2020,1884.999593,3557.005363,-1672.005770
Jun 2020,1581.973962,3559.021184,-1977.047222
May 2020,1258.974929,2800.041505,-1541.066575
Apr 2020,1406.951636,3139.971662,-1733.020026
Mar 2020,1821,3310,-1645
Feb 2020,1992.998223,3560.959266,-1567.961043
Jan 2020,2053.034314,3907.979246,-1854.944932
Dec 2019,2108.042470,3791.007532,-1682.965061
Nov 2019,2110.973296,3682.029556,-1571.056259
Oct 2019,2188.958207,3630.007486,-1441.049278
