Date,Series Name,Output,Unit,Observation Status,Observation Status Comment
07/1991,Total Cement Sales,599.2,Thousand Metric Ton,Normal,
07/1991, Domestic Cement Sales,599.2,Thousand Metric Ton,Normal,
07/1991,Export Cement Sales,,Thousand Metric Ton,Missing value,
08/1991,Total Cement Sales,632.4,Thousand Metric Ton,Normal,
08/1991, Domestic Cement Sales,632.4,Thousand Metric Ton,Normal,
08/1991,Export Cement Sales,,Thousand Metric Ton,Missing value,
09/1991,Total Cement Sales,633,Thousand Metric Ton,Normal,
09/1991, Domestic Cement Sales,633,Thousand Metric Ton,Normal,
09/1991,Export Cement Sales,,Thousand Metric Ton,Missing value,
10/1991,Total Cement Sales,701.3,Thousand Metric Ton,Normal,
10/1991, Domestic Cement Sales,701.3,Thousand Metric Ton,Normal,
10/1991,Export Cement Sales,,Thousand Metric Ton,Missing value,
11/1991,Total Cement Sales,635.3,Thousand Metric Ton,Normal,
11/1991, Domestic Cement Sales,635.3,Thousand Metric Ton,Normal,
11/1991,Export Cement Sales,,Thousand Metric Ton,Missing value,
12/1991,Total Cement Sales,689.1,Thousand Metric Ton,Normal,
12/1991, Domestic Cement Sales,689.1,Thousand Metric Ton,Normal,
12/1991,Export Cement Sales,,Thousand Metric Ton,Missing value,
01/1992,Total Cement Sales,579.6,Thousand Metric Ton,Normal,
01/1992, Domestic Cement Sales,579.6,Thousand Metric Ton,Normal,
01/1992,Export Cement Sales,,Thousand Metric Ton,Missing value,
02/1992,Total Cement Sales,612.1,Thousand Metric Ton,Normal,
02/1992, Domestic Cement Sales,612.1,Thousand Metric Ton,Normal,
02/1992,Export Cement Sales,,Thousand Metric Ton,Missing value,
03/1992,Total Cement Sales,725.2,Thousand Metric Ton,Normal,
03/1992, Domestic Cement Sales,725.2,Thousand Metric Ton,Normal,
03/1992,Export Cement Sales,,Thousand Metric Ton,Missing value,
04/1992,Total Cement Sales,641.1,Thousand Metric Ton,Normal,
04/1992, Domestic Cement Sales,641.1,Thousand Metric Ton,Normal,
04/1992,Export Cement Sales,,Thousand Metric Ton,Missing value,
05/1992,Total Cement Sales,693.1,Thousand Metric Ton,Normal,
05/1992, Domestic Cement Sales,693.1,Thousand Metric Ton,Normal,
05/1992,Export Cement Sales,,Thousand Metric Ton,Missing value,
06/1992,Total Cement Sales,592.7,Thousand Metric Ton,Normal,
06/1992, Domestic Cement Sales,592.7,Thousand Metric Ton,Normal,
06/1992,Export Cement Sales,,Thousand Metric Ton,Missing value,
07/1992,Total Cement Sales,600.2,Thousand Metric Ton,Normal,
07/1992, Domestic Cement Sales,600.2,Thousand Metric Ton,Normal,
07/1992,Export Cement Sales,,Thousand Metric Ton,Missing value,
08/1992,Total Cement Sales,574.2,Thousand Metric Ton,Normal,
08/1992, Domestic Cement Sales,574.2,Thousand Metric Ton,Normal,
08/1992,Export Cement Sales,,Thousand Metric Ton,Missing value,
09/1992,Total Cement Sales,569.2,Thousand Metric Ton,Normal,
09/1992, Domestic Cement Sales,569.2,Thousand Metric Ton,Normal,
