Period,Year on Year,Month over Month
Oct-23,0.26,0.011
Sep-23,0.314,0.017
Aug-23,0.274,0.017
Jul-23,0.283,0.035
Jun-23,0.294,-0.003
May-23,0.38,0.016
Apr-23,0.364,0.024
Mar-23,0.354,0.037
Feb-23,0.315,0.043
Jan-23,0.276,0.029
Dec-22,0.245,0.005
Nov-22,0.238,0.008
Oct-22,0.266,0.047
Sep-22,0.232,-0.012
Aug-22,0.273,0.024
Jul-22,0.249,0.043
Jun-22,0.213,0.063
May-22,0.138,0.004
Apr-22,0.134,0.016
Mar-22,0.127,0.008
Feb-22,0.122,0.012
Jan-22,0.13,0.004
Dec-21,0.123,-0.0002
Nov-21,0.115,0.03
Oct-21,0.092,0.019
Sep-21,0.09,0.021
Aug-21,0.084,0.006
Jul-21,0.084,0.013
Jun-21,0.097,-0.002
May-21,0.109,0.001
Apr-21,0.111,0.01
Mar-21,0.091,0.004
Feb-21,0.087,0.018
Jan-21,0.057,-0.002
Dec-20,0.08,-0.007
Nov-20,0.083,0.008
Oct-20,0.089,0.017
Sep-20,0.09,0.015
Aug-20,0.082,0.006
Jul-20,0.093,0.025
Jun-20,0.086,0.008
May-20,0.082,0.003
Apr-20,0.085,-0.008
Mar-20,0.102,0
Feb-20,0.124,-0.01
Jan-20,0.146,-0.002
Dec-19,0.126,-0.003
Nov-19,0.127,0.013
Oct-19,0.11,0.018
