Area,Date,Commodity type,log_commodity_price,log_cumulative_capacity_mw,log_polysilicon_usd
Pakistan,01/01/2017,Panels,-0.967584026,4.18281321,2.8603
Pakistan,01/02/2017,Panels,-0.967584026,4.729686061,2.8746
Pakistan,01/03/2017,Panels,-0.967584026,5.519058033,2.81
Pakistan,01/04/2017,Panels,-0.967584026,5.92012965,2.6187
Pakistan,01/05/2017,Panels,-0.967584026,6.279196618,2.6754
Pakistan,01/06/2017,Panels,-0.967584026,6.359383539,2.7074
Pakistan,01/07/2017,Panels,-0.967584026,6.394008727,2.7356
Pakistan,01/08/2017,Panels,-1.139434283,6.431733577,2.875
Pakistan,01/09/2017,Panels,-1.171182982,6.477095432,2.9558
Pakistan,01/10/2017,Panels,-1.171182982,6.4973932,2.957
Pakistan,01/11/2017,Panels,-1.203972804,6.549779489,2.9727
Pakistan,01/12/2017,Panels,-1.203972804,6.627313598,2.9831
Pakistan,01/01/2018,Panels,-1.237874356,6.727359866,3.0155
Pakistan,01/02/2018,Panels,-1.272965676,6.789241977,2.9292
Pakistan,01/03/2018,Panels,-1.272965676,6.861040959,2.8566
Pakistan,01/04/2018,Panels,-1.30933332,6.979964306,2.8807
Pakistan,01/05/2018,Panels,-1.347073648,7.110002005,2.8613
Pakistan,01/06/2018,Panels,-1.347073648,7.240470467,2.6199
Pakistan,01/07/2018,Panels,-1.386294361,7.308710232,2.5217
Pakistan,01/08/2018,Panels,-1.386294361,7.362067692,2.4944
Pakistan,01/09/2018,Panels,-1.427116356,7.402030701,2.4538
Pakistan,01/10/2018,Panels,-1.427116356,7.446911767,2.3716
Pakistan,01/11/2018,Panels,-1.347073648,7.521815961,2.3245
Pakistan,01/12/2018,Panels,-1.30933332,7.589553301,2.3169
Pakistan,01/01/2019,Panels,-1.237874356,7.657018108,2.3087
Pakistan,01/02/2019,Panels,-1.237874356,7.693098705,2.326
Pakistan,01/03/2019,Panels,-1.272965676,7.754018318,2.3235
Pakistan,01/04/2019,Panels,-1.272965676,7.812883946,2.2874
Pakistan,01/05/2019,Panels,-1.272965676,7.87225696,2.284
Pakistan,01/06/2019,Panels,-1.30933332,7.908512151,2.2773
Pakistan,01/07/2019,Panels,-1.30933332,7.948106193,2.2803
Pakistan,01/08/2019,Panels,-1.347073648,7.967470802,2.2537
Pakistan,01/09/2019,Panels,-1.347073648,7.993235046,2.2399
Pakistan,01/10/2019,Panels,-1.347073648,8.016809527,2.249
Pakistan,01/11/2019,Panels,-1.386294361,8.05847603,2.2465
Pakistan,01/12/2019,Panels,-1.386294361,8.113648239,2.2066
Pakistan,01/01/2020,Panels,-1.427116356,8.181770804,2.2203
Pakistan,01/02/2020,Panels,-1.427116356,8.192764144,2.2125
Pakistan,01/03/2020,Panels,-1.46967597,8.26247899,2.2194
Pakistan,01/04/2020,Panels,-1.46967597,8.312886115,2.1115
Pakistan,01/05/2020,Panels,-1.46967597,8.34340631,1.995
Pakistan,01/06/2020,Panels,-1.514127733,8.377524145,1.9633
Pakistan,01/07/2020,Panels,-1.560647748,8.409296128,2.0389
Pakistan,01/08/2020,Panels,-1.46967597,8.430940072,2.4422
Pakistan,01/09/2020,Panels,-1.46967597,8.452087043,2.5585
Pakistan,01/10/2020,Panels,-1.427116356,8.462979848,2.4991
Pakistan,01/11/2020,Panels,-1.386294361,8.482814974,2.4591
Pakistan,01/12/2020,Panels,-1.386294361,8.503110494,2.4212
Pakistan,01/01/2021,Panels,-1.347073648,8.516819121,2.4855
Pakistan,01/02/2021,Panels,-1.347073648,8.547660319,2.5366
Pakistan,01/03/2021,Panels,-1.347073648,8.592408265,2.7192
Pakistan,01/04/2021,Panels,-1.347073648,8.639159465,2.8972
Pakistan,01/05/2021,Panels,-1.30933332,8.679157267,3.1375
Pakistan,01/06/2021,Panels,-1.272965676,8.710779396,3.3647
Pakistan,01/07/2021,Panels,-1.30933332,8.739538024,3.3326
Pakistan,01/08/2021,Panels,-1.30933332,8.763435891,3.324
Pakistan,01/09/2021,Panels,-1.272965676,8.786504042,3.3787
Pakistan,01/10/2021,Panels,-1.272965676,8.80865013,3.5591
Pakistan,01/11/2021,Panels,-1.272965676,8.838350175,3.6244
Pakistan,01/12/2021,Panels,-1.272965676,8.871947292,3.5676
Pakistan,01/01/2022,Panels,-1.347073648,8.907895192,3.4784
Pakistan,01/02/2022,Panels,-1.347073648,8.924713519,3.512
Pakistan,01/03/2022,Panels,-1.386294361,8.967660983,3.5371
Pakistan,01/04/2022,Panels,-1.272965676,9.003488389,3.5441
Pakistan,01/05/2022,Panels,-1.237874356,9.043865392,3.5278
Pakistan,01/06/2022,Panels,-1.237874356,9.110757578,3.5756
Pakistan,01/07/2022,Panels,-1.237874356,9.158358419,3.6472
Pakistan,01/08/2022,Panels,-1.237874356,9.179808997,3.6725
Pakistan,01/09/2022,Panels,-1.237874356,9.18590935,3.6486
Pakistan,01/10/2022,Panels,-1.272965676,9.19354105,3.6254
Pakistan,01/11/2022,Panels,-1.272965676,9.212388274,3.622
Pakistan,01/12/2022,Panels,-1.560647748,9.242936305,3.4762
Pakistan,01/01/2023,Panels,-1.46967597,9.275944575,3.0264
Pakistan,01/02/2023,Panels,-1.46967597,9.323678879,3.3714
Pakistan,01/03/2023,Panels,-1.514127733,9.400648286,3.3136
Pakistan,01/04/2023,Panels,-1.514127733,9.454409841,3.199
Pakistan,01/05/2023,Panels,-1.514127733,9.481164138,2.8656
Pakistan,01/06/2023,Panels,-1.560647748,9.520553699,2.2098
Pakistan,01/07/2023,Panels,-1.714798428,9.55973518,2.099
Pakistan,01/08/2023,Panels,-1.714798428,9.587552085,2.1874
Pakistan,01/09/2023,Panels,-1.771956842,9.641135938,2.2846
Pakistan,01/10/2023,Panels,-1.966112856,9.677622175,2.2488
Pakistan,01/11/2023,Panels,-1.966112856,9.728641782,2.0532
Pakistan,01/12/2023,Panels,-2.040220829,9.79397677,1.9811
Pakistan,01/01/2024,Panels,-2.040220829,9.865680799,1.926
