Date,NIFTY50,SP500
01/01/2018,10558.85,2743.15
08/01/2018,10681.25,2786.24
15/01/2018,10894.7,2810.3
22/01/2018,11069.65,2872.87
29/01/2018,10760.6,2762.13
05/02/2018,10454.95,2619.55
12/02/2018,10452.3,2732.22
19/02/2018,10491.05,2747.3
26/02/2018,10458.35,2691.25
05/03/2018,10226.85,2786.57
12/03/2018,10195.15,2752.01
19/03/2018,9998.05,2588.26
26/03/2018,10113.7,2640.87
02/04/2018,10331.6,2604.47
09/04/2018,10480.6,2656.3
16/04/2018,10564.05,2670.14
23/04/2018,10692.3,2669.91
30/04/2018,10618.25,2663.42
07/05/2018,10806.5,2727.72
14/05/2018,10596.4,2712.97
21/05/2018,10605.15,2721.33
28/05/2018,10696.2,2734.62
04/06/2018,10767.65,2779.03
11/06/2018,10817.7,2779.66
18/06/2018,10821.85,2754.88
25/06/2018,10714.3,2718.37
02/07/2018,10772.65,2759.82
09/07/2018,11018.9,2801.31
16/07/2018,11010.2,2801.83
23/07/2018,11278.35,2818.82
30/07/2018,11360.8,2840.35
06/08/2018,11429.5,2833.28
13/08/2018,11470.75,2850.13
20/08/2018,11557.1,2874.69
27/08/2018,11680.5,2901.52
03/09/2018,11589.1,2871.68
10/09/2018,11515.2,2904.98
17/09/2018,11143.1,2929.67
24/09/2018,10930.45,2913.98
01/10/2018,10316.45,2885.57
08/10/2018,10472.5,2767.13
15/10/2018,10303.55,2767.78
22/10/2018,10030,2658.69
29/10/2018,10553,2723.06
05/11/2018,10585.2,2781.01
12/11/2018,10682.2,2736.27
19/11/2018,10526.75,2632.56
26/11/2018,10876.75,2760.17
03/12/2018,10693.7,2633.08
10/12/2018,10805.45,2599.95
17/12/2018,10754,2416.62
24/12/2018,10859.9,2485.74
31/12/2018,10727.35,2531.94
07/01/2019,10794.95,2596.26
14/01/2019,10906.95,2670.71
21/01/2019,10780.55,2664.76
28/01/2019,10893.65,2706.53
04/02/2019,10943.6,2707.88
11/02/2019,10724.4,2775.6
18/02/2019,10791.65,2792.67
25/02/2019,10863.5,2803.69
04/03/2019,11035.4,2743.07
11/03/2019,11426.85,2822.48
18/03/2019,11456.9,2800.71
25/03/2019,11623.9,2834.4
01/04/2019,11665.95,2892.74
08/04/2019,11643.45,2907.41
15/04/2019,11752.8,2905.03
22/04/2019,11754.65,2939.88
29/04/2019,11712.25,2945.64
06/05/2019,11278.9,2881.4
13/05/2019,11407.15,2859.53
20/05/2019,11844.1,2826.06
27/05/2019,11922.8,2752.06
03/06/2019,11870.65,2873.34
10/06/2019,11823.3,2886.98
17/06/2019,11724.1,2950.46
24/06/2019,11788.85,2941.76
01/07/2019,11811.15,2990.41
08/07/2019,11552.5,3013.77
15/07/2019,11419.25,2976.61
22/07/2019,11284.3,3025.86
29/07/2019,10997.35,2932.05
05/08/2019,11109.65,2918.65
12/08/2019,11047.8,2888.68
19/08/2019,10829.35,2847.11
26/08/2019,11023.25,2926.46
02/09/2019,10946.2,2978.71
09/09/2019,11075.9,3007.39
16/09/2019,11274.2,2992.07
23/09/2019,11512.4,2961.79
30/09/2019,11174.75,2952.01
07/10/2019,11305.05,2970.27
14/10/2019,11661.85,2986.2
21/10/2019,11583.9,3022.55
28/10/2019,11890.6,3066.91
04/11/2019,11908.15,3093.08
11/11/2019,11895.45,3120.46
18/11/2019,11914.4,3110.29
25/11/2019,12056.05,3140.98
02/12/2019,11921.5,3145.91
09/12/2019,12086.7,3168.8
16/12/2019,12271.8,3221.22
23/12/2019,12245.8,3240.02
30/12/2019,12226.65,3234.85
06/01/2020,12256.8,3265.35
13/01/2020,12352.35,3329.62
20/01/2020,12248.25,3295.47
27/01/2020,11962.1,3225.52
03/02/2020,12098.35,3327.71
10/02/2020,12113.45,3380.16
17/02/2020,12080.85,3337.75
24/02/2020,11201.75,2954.22
02/03/2020,10989.45,2972.37
09/03/2020,9955.2,2711.02
16/03/2020,8745.45,2304.92
23/03/2020,8660.25,2541.47
30/03/2020,8083.8,2488.65
06/04/2020,9111.9,2789.82
13/04/2020,9266.75,2874.56
20/04/2020,9154.4,2836.74
27/04/2020,9859.9,2830.71
04/05/2020,9251.5,2929.8
11/05/2020,9136.85,2863.7
18/05/2020,9039.25,2955.45
25/05/2020,9580.3,3044.31
01/06/2020,10142.15,3193.93
08/06/2020,9972.9,3041.31
15/06/2020,10244.4,3097.74
22/06/2020,10383,3009.05
29/06/2020,10607.35,3130.01
06/07/2020,10768.05,3185.04
13/07/2020,10901.7,3224.73
20/07/2020,11194.15,3215.63
27/07/2020,11073.45,3271.12
03/08/2020,11214.05,3351.28
10/08/2020,11178.4,3372.85
17/08/2020,11371.6,3397.16
24/08/2020,11647.6,3508.01
31/08/2020,11333.85,3426.96
07/09/2020,11464.45,3340.97
14/09/2020,11504.95,3319.47
21/09/2020,11050.25,3298.46
28/09/2020,11416.95,3348.42
05/10/2020,11914.2,3477.14
12/10/2020,11762.45,3483.81
19/10/2020,11930.35,3465.39
26/10/2020,11642.4,3269.96
02/11/2020,12263.55,3509.44
09/11/2020,12719.95,3585.15
16/11/2020,12859.05,3557.54
