Date,Price,Open,High,Low,Vol.,Change %
10/10/2025,"163,098.19","163,984.80","165,262.85","162,411.25",607604107,-0.87%
10/09/2025,"164,530.80","165,526.93","166,729.97","164,306.76",698865320,-0.45%
10/08/2025,"165,266.74","166,360.54","166,947.19","165,109.84",554831161,-0.55%
10/07/2025,"166,173.74","168,299.19","168,518.97","165,997.21",629739254,-0.94%
10/06/2025,"167,752.40","169,178.99","169,326.35","165,997.36",623765222,-0.73%
10/03/2025,"168,990.07","169,041.40","169,988.61","168,613.41",831083556,0.30%
10/02/2025,"168,489.62","166,079.47","168,619.32","165,567.22",776263551,1.72%
10/01/2025,"165,640.33","166,176.65","166,522.61","164,155.32",1003818362,0.09%
09/30/2025,"165,493.58","164,354.54","166,556.29","164,208.33",629990314,1.00%
09/29/2025,"163,847.68","162,920.48","163,903.62","162,058.64",483728704,0.98%
09/26/2025,"162,257.00","159,901.55","162,422.28","159,901.55",562769288,1.87%
09/25/2025,"159,280.09","158,849.27","159,537.60","158,297.43",880272872,0.66%
09/24/2025,"158,236.67","158,529.73","159,046.60","158,133.30",1027318517,0.18%
09/23/2025,"157,945.02","158,187.32","158,831.22","157,416.54",771285990,0.25%
09/22/2025,"157,554.66","158,528.15","158,850.34","157,245.72",833292624,-0.31%
09/19/2025,"158,037.37","158,555.48","159,337.46","157,521.99",890894731,0.05%
09/18/2025,"157,953.46","157,020.08","158,082.55","156,978.85",555465296,1.14%
09/17/2025,"156,177.81","156,887.48","157,196.58","155,960.35",367851537,-0.00%
09/16/2025,"156,180.94","155,960.66","156,467.91","155,781.84",423573452,0.51%
09/15/2025,"155,384.50","154,612.17","155,602.29","154,486.21",274674705,0.61%
09/12/2025,"154,439.68","156,201.69","156,519.13","154,360.35",241099022,-1.09%
09/11/2025,"156,141.24","157,284.65","157,816.76","156,103.81",402820222,-0.56%
09/10/2025,"157,020.79","156,571.73","157,479.42","156,079.52",437129643,0.29%
09/09/2025,"156,563.52","156,640.09","157,088.80","155,044.25",480306328,0.31%
09/08/2025,"156,087.30","155,057.33","156,199.28","154,944.87",492409990,1.17%
09/05/2025,"154,277.19","153,149.44","154,511.31","153,129.78",471374828,1.06%
09/04/2025,"152,665.72","152,599.44","153,411.05","152,264.96",407266609,0.30%
09/03/2025,"152,201.87","151,320.49","152,805.30","151,320.49",337866019,0.81%
09/02/2025,"150,975.48","150,318.61","151,075.67","150,081.40",441999922,0.67%
09/01/2025,"149,971.12","149,079.23","150,066.00","148,500.20",511821531,0.91%
08/29/2025,"148,617.77","147,591.81","149,234.94","147,488.46",624598293,0.86%
08/28/2025,"147,343.50","147,554.39","148,042.00","147,209.55",306526022,-0.10%
08/27/2025,"147,494.03","148,841.67","149,237.91","147,337.02",186411160,-0.63%
08/26/2025,"148,435.06","149,096.34","149,453.19","148,312.57",161925715,-0.26%
08/25/2025,"148,815.30","149,828.16","150,079.75","148,757.13",210516386,-0.45%
