code,series_id,series_name
WR0010,TS_GP_BOP_WR_M.WR0010,Total Cash inflow of Workers' remittances in Pakistan in a month
WR0020,TS_GP_BOP_WR_M.WR0020,Workers' remittances received from U.S.A.
WR0030,TS_GP_BOP_WR_M.WR0030,Workers' remittances received from U.K.
WR0040,TS_GP_BOP_WR_M.WR0040,Workers' remittances received from Saudi Arabia
WR0050,TS_GP_BOP_WR_M.WR0050,Workers' remittances received from U.A.E.
WR0060,TS_GP_BOP_WR_M.WR0060,Workers' remittances received from Dubai
WR0070,TS_GP_BOP_WR_M.WR0070,Workers' remittances received from Abu Dhabi
WR0080,TS_GP_BOP_WR_M.WR0080,Workers' remittances received from Sharjah
WR0090,TS_GP_BOP_WR_M.WR0090,Workers' remittances received from Other four U.A.E.'s States
WR0100,TS_GP_BOP_WR_M.WR0100,Workers' remittances received from Other GCC Countries excluding Saudi Arabia & U.A.E.
WR0110,TS_GP_BOP_WR_M.WR0110,Workers' remittances received from Bahrain
WR0120,TS_GP_BOP_WR_M.WR0120,Workers' remittances received from Kuwait
WR0130,TS_GP_BOP_WR_M.WR0130,Workers' remittances received from Qatar
WR0140,TS_GP_BOP_WR_M.WR0140,Workers' remittances received from Oman
WR0150,TS_GP_BOP_WR_M.WR0150,Workers' remittances received from ten European Countries
WR0160,TS_GP_BOP_WR_M.WR0160,Workers' remittances received from Germany
WR0170,TS_GP_BOP_WR_M.WR0170,Workers' remittances received from France
WR0180,TS_GP_BOP_WR_M.WR0180,Workers' remittances received from Netherland
WR0190,TS_GP_BOP_WR_M.WR0190,Workers' remittances received from Spain
WR0200,TS_GP_BOP_WR_M.WR0200,Workers' remittances received from Italy
WR0210,TS_GP_BOP_WR_M.WR0210,Workers' remittances received from Greece
WR0220,TS_GP_BOP_WR_M.WR0220,Workers' remittances received from Sweden
WR0230,TS_GP_BOP_WR_M.WR0230,Workers' remittances received from Denmark
WR0240,TS_GP_BOP_WR_M.WR0240,Workers' remittances received from Ireland
WR0250,TS_GP_BOP_WR_M.WR0250,Workers' remittances received from Belgium
WR0260,TS_GP_BOP_WR_M.WR0260,Workers' remittances received from Malaysia
WR0270,TS_GP_BOP_WR_M.WR0270,Workers' remittances received from Norway
WR0280,TS_GP_BOP_WR_M.WR0280,Workers' remittances received from Switzerland
WR0290,TS_GP_BOP_WR_M.WR0290,Workers' remittances received from Australia
WR0300,TS_GP_BOP_WR_M.WR0300,Workers' remittances received from Canada
WR0310,TS_GP_BOP_WR_M.WR0310,Workers' remittances received from Japan
WR0320,TS_GP_BOP_WR_M.WR0320,Workers' remittances received from Other Countries
WR0340,TS_GP_BOP_WR_M.WR0340,Total inflow of Workers' Remittances in Pakistan.
