Area,Date,Commodity type,Commodity priceUSD/W,Cumulative capacity (MW),Polysilicon_USDkg
Pakistan,01/01/2017,Panels,0.38,65.55,17.4675
Pakistan,01/02/2017,Panels,0.38,113.26,17.7176
Pakistan,01/03/2017,Panels,0.38,249.4,16.6105
Pakistan,01/04/2017,Panels,0.38,372.46,13.7184
Pakistan,01/05/2017,Panels,0.38,533.36,14.5184
Pakistan,01/06/2017,Panels,0.38,577.89,14.9899
Pakistan,01/07/2017,Panels,0.38,598.25,15.4194
Pakistan,01/08/2017,Panels,0.32,621.25,17.7248
Pakistan,01/09/2017,Panels,0.31,650.08,19.2174
Pakistan,01/10/2017,Panels,0.31,663.41,19.2409
Pakistan,01/11/2017,Panels,0.3,699.09,19.5445
Pakistan,01/12/2017,Panels,0.3,755.45,19.7497
Pakistan,01/01/2018,Panels,0.29,834.94,20.3985
Pakistan,01/02/2018,Panels,0.28,888.24,18.7129
Pakistan,01/03/2018,Panels,0.28,954.36,17.4021
Pakistan,01/04/2018,Panels,0.27,1074.88,17.8269
Pakistan,01/05/2018,Panels,0.26,1224.15,17.4847
Pakistan,01/06/2018,Panels,0.26,1394.75,13.7342
Pakistan,01/07/2018,Panels,0.25,1493.25,12.4502
Pakistan,01/08/2018,Panels,0.25,1575.09,12.115
Pakistan,01/09/2018,Panels,0.24,1639.31,11.6324
Pakistan,01/10/2018,Panels,0.24,1714.56,10.715
Pakistan,01/11/2018,Panels,0.26,1847.92,10.2217
Pakistan,01/12/2018,Panels,0.27,1977.43,10.1439
Pakistan,01/01/2019,Panels,0.29,2115.44,10.0608
Pakistan,01/02/2019,Panels,0.29,2193.16,10.2373
Pakistan,01/03/2019,Panels,0.28,2330.92,10.2109
Pakistan,01/04/2019,Panels,0.28,2472.25,9.8495
Pakistan,01/05/2019,Panels,0.28,2623.48,9.8158
Pakistan,01/06/2019,Panels,0.27,2720.34,9.7506
Pakistan,01/07/2019,Panels,0.27,2830.21,9.7792
Pakistan,01/08/2019,Panels,0.26,2885.55,9.5225
Pakistan,01/09/2019,Panels,0.26,2960.86,9.3923
Pakistan,01/10/2019,Panels,0.26,3031.49,9.478
Pakistan,01/11/2019,Panels,0.25,3160.47,9.4548
Pakistan,01/12/2019,Panels,0.25,3339.74,9.0846
