company,estimate_(Intercept),"estimate_lag(logS, 1)","estimate_lag(CDS, 1)",estimate_SPY,estimate_L,estimate_Q,estimate_VIX,estimate_VIX_var,estimate_MC,estimate_U,estimate_D,std.error_(Intercept),"std.error_lag(logS, 1)","std.error_lag(CDS, 1)",std.error_SPY,std.error_L,std.error_Q,std.error_VIX,std.error_VIX_var,std.error_MC,std.error_U,std.error_D,statistic_(Intercept),"statistic_lag(logS, 1)","statistic_lag(CDS, 1)",statistic_SPY,statistic_L,statistic_Q,statistic_VIX,statistic_VIX_var,statistic_MC,statistic_U,statistic_D,p.value_(Intercept),"p.value_lag(logS, 1)","p.value_lag(CDS, 1)",p.value_SPY,p.value_L,p.value_Q,p.value_VIX,p.value_VIX_var,p.value_MC,p.value_U,p.value_D
VZ,0.385,0.885,0,-0.007,0,0.008,-0,-0.035,0,NA,NA,0.029,0.008,0,0.002,0,0.001,0,0.003,0,NA,NA,13.296,115.517,0.298,-4.427,0.998,9.243,-1.931,-12.271,16.142,NA,NA,0,0,0.765,0,0.318,0,0.054,0,0,NA,NA
CAT,0.401,0.734,-0.015,0.076,0.018,-0.091,0,-0.073,0,NA,NA,0.029,0.011,0.001,0.005,0.002,0.008,0,0.004,0,NA,NA,13.787,67.63,-17.122,16.77,11.656,-11.696,7.514,-17.133,24.019,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA
CVX,1.734,0.551,-0,-0.008,0.044,-0.024,-0.001,-0.02,0,0.01,0.004,0.052,0.012,0,0.002,0.008,0.002,0,0.004,0,0.011,0.009,33.636,46.122,-0.659,-4.943,5.441,-9.462,-22.531,-4.885,37.435,0.955,0.445,0,0,0.51,0,0,0,0,0,0,0.339,0.656
KO,1.058,0.454,-0.004,0.067,0.014,-0.031,-0,-0.015,0,-0.007,0,0.027,0.012,0.001,0.002,0.001,0.002,0,0.002,0,0.008,0.006,39.584,38.986,-5.436,30.262,23.887,-20.678,-2.919,-6.851,46.338,-0.817,0.031,0,0,0,0,0,0,0.004,0,0,0.414,0.975
DIS,0.282,0.862,0.011,0.024,0.057,-0.012,-0.001,-0.058,0,-0.007,0.009,0.041,0.008,0.001,0.004,0.007,0.003,0,0.004,0,0.011,0.009,6.823,113.11,10.735,5.786,8.808,-4.14,-8.324,-14.019,18.503,-0.621,0.972,0,0,0,0,0,0,0,0,0,0.535,0.331
XOM,0.584,0.789,0.009,0.015,0.006,-0.046,-0,-0.051,0,-0.005,0.086,0.033,0.009,0.001,0.002,0.006,0.004,0,0.004,0,0.016,0.011,17.782,87.919,7.469,7.576,1.012,-10.482,-5.988,-12.337,23.563,-0.312,7.715,0,0,0,0,0.312,0,0,0,0,0.755,0
HPQ,-0.159,0.961,-0,0.036,NA,-0.033,-0,-0.082,0,-0.021,NA,0.038,0.004,0,0.006,NA,0.009,0,0.005,0,0.021,NA,-4.158,219.543,-0.33,6.492,NA,-3.835,-6.864,-14.888,5.969,-0.986,NA,0,0,0.742,0,NA,0,0,0,0,0.324,NA
HD,0.162,0.976,-0,-0.009,-0,-0.01,-0,-0.069,0,NA,NA,0.047,0.004,0.001,0.007,0,0.004,0,0.004,0,NA,NA,3.465,247.008,-0.074,-1.28,-1.115,-2.782,-3.738,-17.885,6.48,NA,NA,0.001,0,0.941,0.201,0.265,0.005,0,0,0,NA,NA
IBM,0.797,0.703,0.006,0.051,0.002,0.024,-0,-0.043,0,-0.011,-0.011,0.04,0.01,0.001,0.002,0.001,0.002,0,0.003,0,0.012,0.009,19.862,68.35,10.153,21.251,3.851,11.653,-8.718,-12.645,28.936,-0.894,-1.227,0,0,0,0,0,0,0,0,0,0.372,0.22
JNJ,1.006,0.76,0.005,-0.008,-0.005,-0.005,-0,-0.033,0,NA,NA,0.043,0.01,0.001,0.003,0.001,0.001,0,0.003,0,NA,NA,23.428,79.921,6.487,-2.724,-3.81,-6.778,-4.9,-12.571,24.699,NA,NA,0,0,0,0.007,0,0,0,0,0,NA,NA
