company,estimate_(Intercept),"estimate_lag(logS, 1)","estimate_lag(logS, 2)","estimate_lag(CDS, 1)","estimate_lag(CDS, 2)",estimate_SPY,estimate_L,estimate_Q,estimate_VIX,estimate_VIX_var,estimate_MC,estimate_U,estimate_D,std.error_(Intercept),"std.error_lag(logS, 1)","std.error_lag(logS, 2)","std.error_lag(CDS, 1)","std.error_lag(CDS, 2)",std.error_SPY,std.error_L,std.error_Q,std.error_VIX,std.error_VIX_var,std.error_MC,std.error_U,std.error_D,statistic_(Intercept),"statistic_lag(logS, 1)","statistic_lag(logS, 2)","statistic_lag(CDS, 1)","statistic_lag(CDS, 2)",statistic_SPY,statistic_L,statistic_Q,statistic_VIX,statistic_VIX_var,statistic_MC,statistic_U,statistic_D,p.value_(Intercept),"p.value_lag(logS, 1)","p.value_lag(logS, 2)","p.value_lag(CDS, 1)","p.value_lag(CDS, 2)",p.value_SPY,p.value_L,p.value_Q,p.value_VIX,p.value_VIX_var,p.value_MC,p.value_U,p.value_D
VZ,0.388,0.875,0.009,0.001,0,-0.007,0,0.008,0,-0.035,0,NA,NA,0.029,0.022,0.021,0.002,0.001,0.002,0,0.001,0,0.003,0,NA,NA,13.37,40.071,0.438,0.401,-0.319,-4.451,0.983,9.235,-1.975,-12.222,16.252,NA,NA,0,0,0.661,0.688,0.75,0,0.326,0,0.048,0,0,NA,NA
CAT,0.4,0.762,-0.029,-0.008,-0.007,0.076,0.018,-0.091,0,-0.073,0,NA,NA,0.029,0.023,0.02,0.004,0.004,0.005,0.002,0.008,0,0.004,0,NA,NA,13.749,33.834,-1.464,-1.958,-1.791,16.842,11.679,-11.775,7.523,-17.167,24.02,NA,NA,0,0,0.143,0.05,0.074,0,0,0,0,0,0,NA,NA
CVX,1.732,0.56,-0.009,0.003,-0.004,-0.008,0.044,-0.024,-0.001,-0.02,0,0.01,0.004,0.052,0.021,0.017,0.003,0.003,0.002,0.008,0.002,0,0.004,0,0.011,0.009,33.531,27.201,-0.532,1.04,-1.123,-4.87,5.435,-9.499,-22.451,-4.889,37.366,0.957,0.446,0,0,0.595,0.299,0.262,0,0,0,0,0,0,0.339,0.655
KO,1.057,0.478,-0.024,0.005,-0.008,0.067,0.014,-0.031,0,-0.015,0,-0.006,0,0.027,0.019,0.015,0.004,0.004,0.002,0.001,0.002,0,0.002,0,0.008,0.006,39.538,25.52,-1.645,1.006,-1.837,30.304,23.876,-20.7,-2.734,-6.913,46.299,-0.79,0.054,0,0,0.1,0.315,0.066,0,0,0,0.006,0,0,0.429,0.957
DIS,0.281,0.819,0.046,0.015,-0.005,0.023,0.056,-0.012,-0.001,-0.059,0,-0.006,0.009,0.041,0.021,0.02,0.003,0.003,0.004,0.007,0.003,0,0.004,0,0.011,0.009,6.781,38.67,2.298,5.519,-1.674,5.627,8.565,-4.059,-8.425,-14.098,18.116,-0.543,0.954,0,0,0.022,0,0.094,0,0,0,0,0,0,0.587,0.34
XOM,0.584,0.754,0.035,0.01,-0.001,0.015,0.006,-0.046,0,-0.051,0,-0.005,0.086,0.033,0.021,0.018,0.01,0.01,0.002,0.006,0.004,0,0.004,0,0.016,0.011,17.768,36.539,1.884,0.989,-0.114,7.688,1.011,-10.524,-6.105,-12.325,23.605,-0.318,7.702,0,0,0.06,0.323,0.909,0,0.312,0,0,0,0,0.75,0
HPQ,-0.158,0.947,0.014,0.007,-0.008,0.036,NA,-0.033,-0.001,-0.082,0,-0.021,NA,0.038,0.023,0.022,0.003,0.003,0.006,NA,0.009,0,0.005,0,0.021,NA,-4.139,41.946,0.651,2.756,-2.807,6.482,NA,-3.806,-6.97,-14.89,5.881,-0.981,NA,0,0,0.515,0.006,0.005,0,NA,0,0,0,0,0.327,NA
HD,0.159,0.962,0.014,0.015,-0.015,-0.008,0,-0.01,0,-0.068,0,NA,NA,0.047,0.022,0.022,0.006,0.006,0.007,0,0.004,0,0.004,0,NA,NA,3.39,42.844,0.623,2.666,-2.747,-1.258,-1.089,-2.906,-3.845,-17.876,6.399,NA,NA,0.001,0,0.533,0.008,0.006,0.208,0.276,0.004,0,0,0,NA,NA
IBM,0.8,0.691,0.012,0.004,0.002,0.051,0.002,0.024,0,-0.043,0,-0.011,-0.011,0.04,0.022,0.02,0.004,0.004,0.002,0.001,0.002,0,0.003,0,0.012,0.009,19.868,31.103,0.583,1.187,0.412,21.269,3.824,11.654,-8.731,-12.587,28.957,-0.892,-1.231,0,0,0.56,0.235,0.681,0,0,0,0,0,0,0.372,0.218
JNJ,1.008,0.769,-0.009,0.004,0.001,-0.008,-0.005,-0.005,0,-0.033,0,NA,NA,0.043,0.021,0.019,0.004,0.004,0.003,0.001,0.001,0,0.003,0,NA,NA,23.421,36.097,-0.492,1.195,0.259,-2.706,-3.814,-6.81,-4.869,-12.569,24.659,NA,NA,0,0,0.623,0.232,0.796,0.007,0,0,0,0,0,NA,NA
MCD,0.126,0.933,0.006,0.008,-0.008,0.013,0,0,0,-0.05,0,NA,-0.007,0.024,0.022,0.022,0.004,0.004,0.004,0,0.001,0,0.003,0,NA,0.007,5.343,42.132,0.26,1.876,-1.978,3.369,8.608,-0.515,2.34,-15.429,11.469,NA,-1.025,0,0,0.795,0.061,0.048,0.001,0,0.607,0.019,0,0,NA,0.305
PFE,0.41,0.617,-0.013,0.001,-0.002,0.081,0,-0.007,0,-0.03,0,-0.011,-0.003,0.017,0.021,0.017,0.004,0.004,0.003,0,0.001,0,0.003,0,0.008,0.007,24.342,29.718,-0.752,0.343,-0.449,28.002,0.634,-10.417,3.607,-9.718,35.413,-1.3,-0.494,0,0,0.452,0.732,0.653,0,0.526,0,0,0,0,0.194,0.622
PG,0.577,0.798,0.007,0.006,-0.004,0.019,-0.007,0.01,0,-0.029,0,NA,NA,0.033,0.022,0.02,0.004,0.004,0.003,0.002,0.004,0,0.003,0,NA,NA,17.569,36.263,0.338,1.708,-1.002,6.621,-4.425,2.277,-0.223,-10.249,20.783,NA,NA,0,0,0.735,0.088,0.317,0,0,0.023,0.823,0,0,NA,NA
T,0.314,0.921,0.015,0.002,-0.001,-0.017,-0.001,0.001,0,-0.044,0,NA,-0.001,0.04,0.023,0.022,0.002,0.002,0.002,0.002,0.002,0,0.004,0,NA,0.01,7.839,40.788,0.658,1.027,-0.952,-6.954,-0.403,0.79,-6.115,-11.859,9.036,NA,-0.081,0,0,0.511,0.304,0.341,0,0.687,0.43,0,0,0,NA,0.936
WMT,1.006,0.722,0.019,0,0.007,0.006,-0.04,-0.077,0,-0.026,0,NA,NA,0.044,0.022,0.02,0.004,0.004,0.004,0.002,0.008,0,0.003,0,NA,NA,22.895,32.985,0.951,0.057,1.61,1.68,-18.055,-10.314,-3.621,-8.509,26.644,NA,NA,0,0,0.342,0.954,0.107,0.093,0,0,0,0,0,NA,NA
CI,0.104,0.96,0.016,-0.003,0.004,0.001,-0.001,-0.019,0,-0.061,0,NA,NA,0.042,0.022,0.021,0.011,0.011,0.006,0.002,0.005,0,0.005,0,NA,NA,2.471,44.229,0.735,-0.252,0.339,0.23,-0.332,-3.973,-4.616,-12.342,7.073,NA,NA,0.014,0,0.463,0.801,0.734,0.818,0.74,0,0,0,0,NA,NA
MO,1.098,0.55,-0.029,0.001,0.002,0.046,0,-0.036,0,-0.019,0,-0.009,0.005,0.031,0.02,0.017,0.003,0.003,0.002,0,0.002,0,0.003,0,0.008,0.012,35.325,27.246,-1.75,0.338,0.721,23.212,-6.883,-15.923,-6.959,-6.123,41.043,-1.059,0.457,0,0,0.08,0.735,0.471,0,0,0,0,0,0,0.29,0.648
HCA,1.57,0.125,0.072,-0.002,0,0.107,NA,0.004,0,-0.012,0,NA,NA,0.25,0.036,0.03,0.001,0.001,0.035,NA,0.018,0,0.007,0,NA,NA,6.29,3.443,2.431,-1.419,-0.016,3.037,NA,0.242,0.953,-1.877,33.068,NA,NA,0,0.001,0.016,0.157,0.987,0.003,NA,0.809,0.341,0.062,0,NA,NA
IP,0.534,0.591,0.007,0.003,0.001,0.079,0,0.018,0,-0.045,0,NA,NA,0.019,0.02,0.017,0.003,0.003,0.003,0,0.002,0,0.004,0,NA,NA,28.793,29.151,0.388,0.948,0.437,31.727,-1.583,10.686,-8.685,-12.262,35.494,NA,NA,0,0,0.698,0.343,0.662,0,0.114,0,0,0,0,NA,NA
