company,estimate_(Intercept),"estimate_lag(logS, 1)","estimate_lag(logS, 2)","estimate_lag(logS, 3)","estimate_lag(CDS, 1)","estimate_lag(CDS, 2)",estimate_SPY,estimate_L,estimate_Q,estimate_VIX,estimate_VIX_var,estimate_MC,estimate_U,estimate_D,std.error_(Intercept),"std.error_lag(logS, 1)","std.error_lag(logS, 2)","std.error_lag(logS, 3)","std.error_lag(CDS, 1)","std.error_lag(CDS, 2)",std.error_SPY,std.error_L,std.error_Q,std.error_VIX,std.error_VIX_var,std.error_MC,std.error_U,std.error_D,statistic_(Intercept),"statistic_lag(logS, 1)","statistic_lag(logS, 2)","statistic_lag(logS, 3)","statistic_lag(CDS, 1)","statistic_lag(CDS, 2)",statistic_SPY,statistic_L,statistic_Q,statistic_VIX,statistic_VIX_var,statistic_MC,statistic_U,statistic_D,p.value_(Intercept),"p.value_lag(logS, 1)","p.value_lag(logS, 2)","p.value_lag(logS, 3)","p.value_lag(CDS, 1)","p.value_lag(CDS, 2)",p.value_SPY,p.value_L,p.value_Q,p.value_VIX,p.value_VIX_var,p.value_MC,p.value_U,p.value_D
VZ,0.39,0.873,-0.007,0.017,0.001,-0,-0.007,0,0.008,-0,-0.035,0,NA,NA,0.029,0.022,0.029,0.02,0.002,0.001,0.002,0,0.001,0,0.003,0,NA,NA,13.357,39.979,-0.242,0.822,0.396,-0.298,-4.462,0.949,9.243,-2.027,-12.174,16.268,NA,NA,0,0,0.809,0.411,0.692,0.766,0,0.343,0,0.043,0,0,NA,NA
CAT,0.399,0.763,-0.002,-0.027,-0.008,-0.007,0.076,0.018,-0.091,0,-0.073,0,NA,NA,0.029,0.023,0.027,0.018,0.004,0.004,0.005,0.002,0.008,0,0.004,0,NA,NA,13.697,33.854,-0.072,-1.51,-1.894,-1.842,16.828,11.654,-11.731,7.6,-17.202,23.955,NA,NA,0,0,0.943,0.131,0.058,0.066,0,0,0,0,0,0,NA,NA
CVX,1.729,0.56,-0.026,0.017,0.003,-0.003,-0.008,0.044,-0.024,-0.001,-0.02,0,0.01,0.004,0.052,0.021,0.023,0.016,0.003,0.003,0.002,0.008,0.003,0,0.004,0,0.011,0.009,33.446,27.161,-1.109,1.063,0.908,-0.976,-4.775,5.484,-9.461,-22.467,-4.875,37.345,0.966,0.474,0,0,0.267,0.288,0.364,0.329,0,0,0,0,0,0,0.334,0.636
KO,1.057,0.478,-0.021,-0.003,0.005,-0.008,0.067,0.014,-0.031,-0,-0.015,0,-0.006,0,0.027,0.019,0.021,0.015,0.004,0.004,0.002,0.001,0.002,0,0.002,0,0.008,0.006,39.518,25.501,-1.009,-0.204,1.013,-1.842,30.217,23.779,-20.678,-2.702,-6.909,46.262,-0.781,0.055,0,0,0.313,0.839,0.311,0.066,0,0,0,0.007,0,0,0.435,0.956
DIS,0.28,0.82,0.066,-0.022,0.015,-0.005,0.023,0.056,-0.012,-0.001,-0.059,0,-0.006,0.008,0.042,0.021,0.027,0.019,0.003,0.003,0.004,0.007,0.003,0,0.004,0,0.011,0.009,6.736,38.643,2.465,-1.136,5.507,-1.669,5.649,8.578,-4.093,-8.211,-14.109,18.095,-0.526,0.863,0,0,0.014,0.256,0,0.095,0,0,0,0,0,0,0.599,0.388
XOM,0.584,0.754,0.031,0.003,0.01,-0.001,0.015,0.006,-0.046,-0,-0.051,0,-0.005,0.086,0.033,0.021,0.026,0.018,0.01,0.01,0.002,0.006,0.004,0,0.004,0,0.016,0.011,17.77,36.48,1.214,0.185,0.977,-0.105,7.68,0.993,-10.519,-6.096,-12.304,23.58,-0.316,7.699,0,0,0.225,0.853,0.329,0.916,0,0.321,0,0,0,0,0.752,0
HPQ,-0.158,0.946,0.005,0.01,0.007,-0.008,0.036,NA,-0.033,-0.001,-0.082,0,-0.021,NA,0.038,0.023,0.03,0.021,0.003,0.003,0.006,NA,0.009,0,0.006,0,0.021,NA,-4.148,41.829,0.163,0.498,2.741,-2.793,6.493,NA,-3.811,-6.974,-14.83,5.891,-0.974,NA,0,0,0.871,0.618,0.006,0.005,0,NA,0,0,0,0,0.33,NA
HD,0.159,0.962,0.014,0,0.015,-0.015,-0.008,-0,-0.01,-0,-0.068,0,NA,NA,0.047,0.023,0.029,0.021,0.006,0.006,0.007,0,0.004,0,0.004,0,NA,NA,3.391,42.687,0.478,0.004,2.643,-2.721,-1.246,-1.117,-2.866,-3.807,-17.835,6.408,NA,NA,0.001,0,0.633,0.997,0.008,0.007,0.213,0.264,0.004,0,0,0,NA,NA
IBM,0.805,0.691,0.032,-0.022,0.005,0.001,0.051,0.002,0.024,-0,-0.043,0,-0.011,-0.011,0.04,0.022,0.026,0.018,0.004,0.004,0.002,0.001,0.002,0,0.003,0,0.012,0.009,19.962,31.081,1.262,-1.27,1.244,0.343,21.194,3.719,11.623,-8.636,-12.581,28.989,-0.882,-1.235,0,0,0.207,0.204,0.214,0.732,0,0,0,0,0,0,0.378,0.217
JNJ,1.01,0.768,-0.001,-0.008,0.004,0.001,-0.008,-0.005,-0.005,-0,-0.033,0,NA,NA,0.043,0.021,0.027,0.018,0.004,0.004,0.003,0.001,0.001,0,0.003,0,NA,NA,23.435,36.053,-0.055,-0.412,1.153,0.304,-2.699,-3.829,-6.855,-4.845,-12.556,24.646,NA,NA,0,0,0.956,0.681,0.249,0.761,0.007,0,0,0,0,0,NA,NA
