company,estimate_(Intercept),"estimate_lag(logS, 1)","estimate_lag(logS, 2)","estimate_lag(logS, 3)","estimate_lag(logS, 4)","estimate_lag(CDS, 1)","estimate_lag(CDS, 2)","estimate_lag(CDS, 3)","estimate_lag(CDS, 4)",estimate_SPY,estimate_L,estimate_Q,estimate_VIX,estimate_VIX_var,estimate_MC,estimate_U,estimate_D,std.error_(Intercept),"std.error_lag(logS, 1)","std.error_lag(logS, 2)","std.error_lag(logS, 3)","std.error_lag(logS, 4)","std.error_lag(CDS, 1)","std.error_lag(CDS, 2)","std.error_lag(CDS, 3)","std.error_lag(CDS, 4)",std.error_SPY,std.error_L,std.error_Q,std.error_VIX,std.error_VIX_var,std.error_MC,std.error_U,std.error_D,statistic_(Intercept),"statistic_lag(logS, 1)","statistic_lag(logS, 2)","statistic_lag(logS, 3)","statistic_lag(logS, 4)","statistic_lag(CDS, 1)","statistic_lag(CDS, 2)","statistic_lag(CDS, 3)","statistic_lag(CDS, 4)",statistic_SPY,statistic_L,statistic_Q,statistic_VIX,statistic_VIX_var,statistic_MC,statistic_U,statistic_D,p.value_(Intercept),"p.value_lag(logS, 1)","p.value_lag(logS, 2)","p.value_lag(logS, 3)","p.value_lag(logS, 4)","p.value_lag(CDS, 1)","p.value_lag(CDS, 2)","p.value_lag(CDS, 3)","p.value_lag(CDS, 4)",p.value_SPY,p.value_L,p.value_Q,p.value_VIX,p.value_VIX_var,p.value_MC,p.value_U,p.value_D
VZ,0.391,0.872,-0.004,-0.017,0.032,0.001,0.001,-0.001,0,-0.007,0,0.008,-0,-0.035,0,NA,NA,0.029,0.022,0.029,0.029,0.021,0.002,0.002,0.002,0.002,0.002,0,0.001,0,0.003,0,NA,NA,13.333,39.871,-0.143,-0.58,1.514,0.342,0.267,-0.678,0.311,-4.461,0.89,9.254,-2.103,-12.161,16.32,NA,NA,0,0,0.886,0.562,0.13,0.732,0.789,0.498,0.756,0,0.374,0,0.036,0,0,NA,NA
CAT,0.399,0.763,0.007,-0.069,0.032,-0.008,-0.003,-0.008,0.004,0.076,0.018,-0.091,0,-0.073,0,NA,NA,0.029,0.023,0.028,0.028,0.02,0.004,0.006,0.006,0.004,0.005,0.002,0.008,0,0.004,0,NA,NA,13.702,33.837,0.256,-2.431,1.613,-1.948,-0.546,-1.374,0.923,16.739,11.646,-11.699,7.497,-17.148,23.943,NA,NA,0,0,0.798,0.015,0.107,0.052,0.585,0.17,0.356,0,0,0,0,0,0,NA,NA
CVX,1.73,0.562,-0.031,0.056,-0.035,0.003,-0.006,0.004,-0.002,-0.008,0.044,-0.024,-0.001,-0.02,0,0.01,0.004,0.052,0.021,0.024,0.024,0.017,0.003,0.004,0.004,0.003,0.002,0.008,0.003,0,0.004,0,0.011,0.009,33.456,27.238,-1.316,2.375,-2.049,0.938,-1.315,0.857,-0.447,-4.867,5.444,-9.516,-21.883,-4.918,37.31,0.906,0.429,0,0,0.188,0.018,0.041,0.348,0.189,0.392,0.655,0,0,0,0,0,0,0.365,0.668
KO,1.057,0.48,-0.024,0.016,-0.018,0.005,-0.008,0.007,-0.007,0.067,0.014,-0.031,-0,-0.015,0,-0.006,0,0.027,0.019,0.021,0.021,0.015,0.004,0.006,0.006,0.004,0.002,0.001,0.002,0,0.002,0,0.008,0.006,39.435,25.525,-1.127,0.77,-1.252,1.077,-1.318,1.05,-1.535,30.221,23.816,-20.679,-2.538,-6.956,46.226,-0.787,0.027,0,0,0.26,0.442,0.211,0.282,0.188,0.294,0.125,0,0,0,0.011,0,0,0.431,0.979
DIS,0.287,0.819,0.056,-0.012,-0,0.013,-0.01,0.005,0.002,0.023,0.056,-0.012,-0.001,-0.058,0,-0.006,0.006,0.042,0.021,0.027,0.027,0.02,0.003,0.003,0.003,0.003,0.004,0.007,0.003,0,0.004,0,0.011,0.009,6.898,38.527,2.053,-0.42,-0.009,4.66,-2.779,1.519,0.667,5.551,8.591,-4.016,-8.228,-13.983,18.229,-0.585,0.617,0,0,0.04,0.674,0.993,0,0.006,0.129,0.505,0,0,0,0,0,0,0.558,0.537
XOM,0.585,0.754,0.031,-0.001,0.004,0.009,-0.001,-0.006,0.007,0.015,0.006,-0.046,-0,-0.051,0,-0.005,0.086,0.033,0.021,0.026,0.026,0.018,0.01,0.015,0.015,0.01,0.002,0.006,0.004,0,0.004,0,0.016,0.011,17.772,36.451,1.203,-0.043,0.233,0.907,-0.048,-0.428,0.647,7.657,0.996,-10.518,-6.074,-12.25,23.545,-0.319,7.703,0,0,0.229,0.966,0.816,0.364,0.962,0.669,0.518,0,0.32,0,0,0,0,0.75,0
HPQ,-0.159,0.945,0.005,-0.013,0.024,0.007,-0.007,0.001,-0.001,0.036,NA,-0.033,-0.001,-0.082,0,-0.021,NA,0.038,0.023,0.031,0.031,0.022,0.003,0.004,0.004,0.003,0.006,NA,0.009,0,0.006,0,0.021,NA,-4.176,41.688,0.165,-0.414,1.08,2.679,-1.912,0.154,-0.308,6.52,NA,-3.791,-7.068,-14.786,5.861,-1.004,NA,0,0,0.869,0.679,0.28,0.007,0.056,0.878,0.758,0,NA,0,0,0,0,0.316,NA
HD,0.153,0.963,0.023,0.01,-0.02,0.016,-0.01,-0.002,-0.005,-0.008,-0,-0.01,-0,-0.069,0,NA,NA,0.047,0.023,0.031,0.031,0.022,0.006,0.007,0.007,0.006,0.007,0,0.004,0,0.004,0,NA,NA,3.248,42.677,0.762,0.33,-0.89,2.794,-1.34,-0.262,-0.808,-1.141,-1.12,-2.903,-3.65,-17.882,6.233,NA,NA,0.001,0,0.446,0.741,0.373,0.005,0.181,0.793,0.419,0.254,0.263,0.004,0,0,0,NA,NA
IBM,0.808,0.691,0.037,-0.039,0.011,0.004,0.003,-0.006,0.004,0.051,0.002,0.024,-0,-0.042,0,-0.011,-0.011,0.04,0.022,0.027,0.027,0.02,0.004,0.005,0.005,0.004,0.002,0.001,0.002,0,0.003,0,0.012,0.009,19.971,31.025,1.362,-1.425,0.568,1.216,0.662,-1.279,1.22,21.14,3.673,11.601,-8.601,-12.476,28.958,-0.886,-1.228,0,0,0.173,0.154,0.57,0.224,0.508,0.201,0.223,0,0,0,0,0,0,0.376,0.22
JNJ,1.014,0.768,0.001,-0.033,0.023,0.004,0.003,-0.007,0.005,-0.008,-0.005,-0.005,-0,-0.033,0,NA,NA,0.043,0.021,0.027,0.027,0.019,0.004,0.005,0.005,0.004,0.003,0.001,0.001,0,0.003,0,NA,NA,23.482,36.029,0.035,-1.238,1.224,1.146,0.664,-1.402,1.306,-2.778,-3.833,-6.897,-4.935,-12.503,24.688,NA,NA,0,0,0.972,0.216,0.221,0.252,0.506,0.161,0.192,0.006,0,0,0,0,0,NA,NA
