company, (Intercept)," lag(logS, 1)"," lag(logS, 2)"," lag(logS, 3)"," lag(logS, 4)"," lag(logS, 5)"," lag(CDS, 1)"," lag(CDS, 2)"," lag(CDS, 3)"," lag(CDS, 4)"," lag(CDS, 5)", SPY, L, Q, VIX, VIX_var, MC, U, D,std.error_(Intercept),"std.error_lag(logS, 1)","std.error_lag(logS, 2)","std.error_lag(logS, 3)","std.error_lag(logS, 4)","std.error_lag(logS, 5)","std.error_lag(CDS, 1)","std.error_lag(CDS, 2)","std.error_lag(CDS, 3)","std.error_lag(CDS, 4)","std.error_lag(CDS, 5)",std.error_SPY,std.error_L,std.error_Q,std.error_VIX,std.error_VIX_var,std.error_MC,std.error_U,std.error_D,statistic_(Intercept),"statistic_lag(logS, 1)","statistic_lag(logS, 2)","statistic_lag(logS, 3)","statistic_lag(logS, 4)","statistic_lag(logS, 5)","statistic_lag(CDS, 1)","statistic_lag(CDS, 2)","statistic_lag(CDS, 3)","statistic_lag(CDS, 4)","statistic_lag(CDS, 5)",statistic_SPY,statistic_L,statistic_Q,statistic_VIX,statistic_VIX_var,statistic_MC,statistic_U,statistic_D,p.value_(Intercept),"p.value_lag(logS, 1)","p.value_lag(logS, 2)","p.value_lag(logS, 3)","p.value_lag(logS, 4)","p.value_lag(logS, 5)","p.value_lag(CDS, 1)","p.value_lag(CDS, 2)","p.value_lag(CDS, 3)","p.value_lag(CDS, 4)","p.value_lag(CDS, 5)",p.value_SPY,p.value_L,p.value_Q,p.value_VIX,p.value_VIX_var,p.value_MC,p.value_U,p.value_D
VZ,0.393,0.87,-0.004,-0.017,0.012,0.02,0,0.001,-0.001,0.001,0,-0.007,0,0.008,0,-0.035,0,NA,NA,0.029,0.022,0.029,0.029,0.029,0.021,0.002,0.002,0.002,0.002,0.002,0.002,0,0.001,0,0.003,0,NA,NA,13.337,39.707,-0.141,-0.586,0.429,0.953,0.286,0.268,-0.652,0.305,-0.068,-4.473,0.843,9.259,-2.139,-12.081,16.361,NA,NA,0,0,0.888,0.558,0.668,0.341,0.775,0.788,0.515,0.76,0.946,0,0.399,0,0.033,0,0,NA,NA
CAT,0.4,0.761,0.009,-0.069,0.006,0.026,-0.008,-0.003,-0.008,0,0.003,0.076,0.018,-0.091,0,-0.073,0,NA,NA,0.029,0.023,0.028,0.028,0.028,0.02,0.004,0.006,0.006,0.006,0.004,0.005,0.002,0.008,0,0.004,0,NA,NA,13.695,33.714,0.332,-2.435,0.2,1.316,-1.987,-0.528,-1.376,0.074,0.854,16.635,11.622,-11.614,7.41,-17.092,23.909,NA,NA,0,0,0.74,0.015,0.841,0.188,0.047,0.597,0.169,0.941,0.393,0,0,0,0,0,0,NA,NA
CVX,1.727,0.564,-0.033,0.057,-0.046,0.011,0.003,-0.005,0.002,-0.01,0.01,-0.008,0.044,-0.024,-0.001,-0.021,0,0.009,0.004,0.052,0.021,0.024,0.024,0.024,0.017,0.003,0.004,0.004,0.004,0.003,0.002,0.008,0.003,0,0.004,0,0.011,0.009,33.4,27.334,-1.413,2.419,-1.92,0.608,0.885,-1.194,0.367,-2.186,2.901,-5.042,5.446,-9.445,-21.251,-5.173,37.224,0.835,0.443,0,0,0.158,0.016,0.055,0.543,0.376,0.233,0.714,0.029,0.004,0,0,0,0,0,0,0.404,0.658
KO,1.058,0.48,-0.024,0.015,-0.007,-0.011,0.005,-0.008,0.007,-0.004,-0.003,0.067,0.014,-0.031,0,-0.015,0,-0.006,0,0.027,0.019,0.021,0.021,0.021,0.015,0.004,0.006,0.006,0.006,0.004,0.002,0.001,0.002,0,0.002,0,0.008,0.006,39.437,25.502,-1.129,0.737,-0.316,-0.771,1.064,-1.286,1.055,-0.642,-0.678,30.082,23.684,-20.655,-2.478,-6.974,46.168,-0.779,0.021,0,0,0.259,0.461,0.752,0.441,0.288,0.199,0.291,0.521,0.498,0,0,0,0.013,0,0,0.436,0.983
DIS,0.298,0.814,0.057,-0.01,-0.031,0.034,0.011,-0.009,0.004,-0.005,0.01,0.022,0.055,-0.011,-0.001,-0.058,0,-0.007,0.005,0.042,0.021,0.027,0.027,0.027,0.02,0.003,0.003,0.003,0.003,0.003,0.004,0.007,0.003,0,0.004,0,0.011,0.009,7.151,38.323,2.081,-0.373,-1.134,1.679,3.927,-2.714,1.112,-1.348,3.411,5.297,8.454,-3.915,-8.339,-14.06,18.341,-0.614,0.534,0,0,0.038,0.709,0.257,0.093,0,0.007,0.266,0.178,0.001,0,0,0,0,0,0,0.539,0.593
XOM,0.585,0.754,0.031,-0.002,-0.023,0.028,0.008,-0.001,-0.005,-0.001,0.008,0.015,0.006,-0.046,0,-0.051,0,-0.005,0.086,0.033,0.021,0.026,0.026,0.026,0.018,0.01,0.015,0.015,0.015,0.01,0.002,0.006,0.004,0,0.004,0,0.016,0.011,17.729,36.444,1.224,-0.089,-0.905,1.515,0.815,-0.039,-0.363,-0.071,0.739,7.713,1.036,-10.541,-6.14,-12.204,23.549,-0.309,7.677,0,0,0.221,0.929,0.365,0.13,0.415,0.969,0.716,0.944,0.46,0,0.3,0,0,0,0,0.757,0
HPQ,-0.16,0.944,0.005,-0.012,0.009,0.015,0.007,-0.007,0,-0.003,0.003,0.036,NA,-0.033,-0.001,-0.082,0,-0.023,NA,0.038,0.023,0.031,0.031,0.031,0.022,0.003,0.004,0.004,0.004,0.003,0.006,NA,0.009,0,0.006,0,0.021,NA,-4.185,41.628,0.163,-0.388,0.278,0.686,2.626,-1.887,0.129,-0.898,0.994,6.531,NA,-3.815,-7.072,-14.761,5.912,-1.062,NA,0,0,0.87,0.698,0.781,0.493,0.009,0.059,0.898,0.369,0.321,0,NA,0,0,0,0,0.288,NA
HD,0.161,0.963,0.022,0.009,-0.066,0.049,0.016,-0.01,-0.004,-0.013,0.011,-0.009,0,-0.01,0,-0.069,0,NA,NA,0.047,0.023,0.031,0.031,0.031,0.022,0.006,0.007,0.007,0.007,0.006,0.007,0,0.004,0,0.004,0,NA,NA,3.423,42.679,0.713,0.285,-2.159,2.189,2.759,-1.415,-0.509,-1.714,1.888,-1.311,-1.088,-2.883,-3.869,-17.795,6.397,NA,NA,0.001,0,0.476,0.776,0.031,0.029,0.006,0.157,0.611,0.087,0.059,0.19,0.277,0.004,0,0,0,NA,NA
IBM,0.81,0.685,0.043,-0.04,-0.013,0.025,0.003,0.005,-0.007,-0.011,0.016,0.051,0.002,0.024,0,-0.043,0,-0.011,-0.011,0.04,0.022,0.027,0.027,0.027,0.02,0.004,0.005,0.005,0.005,0.004,0.002,0.001,0.002,0,0.003,0,0.012,0.009,20.076,30.84,1.602,-1.485,-0.496,1.273,0.763,0.912,-1.314,-2.15,4.363,21.286,3.68,11.733,-8.441,-12.662,29.208,-0.877,-1.203,0,0,0.109,0.138,0.62,0.203,0.446,0.362,0.189,0.032,0,0,0,0,0,0,0,0.381,0.229
JNJ,1.017,0.763,0.007,-0.034,-0.04,0.062,0.003,0.005,-0.007,-0.007,0.012,-0.008,-0.005,-0.005,0,-0.033,0,NA,NA,0.043,0.021,0.027,0.027,0.027,0.019,0.004,0.005,0.005,0.005,0.004,0.003,0.001,0.001,0,0.003,0,NA,NA,23.669,35.961,0.264,-1.259,-1.481,3.306,0.701,0.89,-1.364,-1.387,3.276,-2.97,-3.793,-6.937,-5.229,-12.524,24.898,NA,NA,0,0,0.792,0.208,0.139,0.001,0.483,0.374,0.173,0.166,0.001,0.003,0,0,0,0,0,NA,NA
