RCHRG_DT_KEY,RCHRG_SUM
6/1/2023,449155323
6/2/2023,410851215
6/3/2023,445796069
6/4/2023,384288022
6/5/2023,422305164
6/6/2023,402602388
6/7/2023,386898547
6/8/2023,392487532
6/9/2023,368797725
6/10/2023,395386241
6/11/2023,362356167
6/12/2023,444588758
6/13/2023,382253727
6/14/2023,380624893
6/15/2023,388823166
6/16/2023,369339740
6/17/2023,390721711
6/18/2023,361305088
6/19/2023,393418519
6/20/2023,382864404
6/21/2023,359424988
6/22/2023,381393096
6/23/2023,389983983
6/24/2023,411374215
6/25/2023,375036568
6/26/2023,444540469
6/27/2023,533891752
6/28/2023,604067455
6/29/2023,376872380
6/30/2023,420055752
7/1/2023,426346570
7/2/2023,401133683
7/3/2023,445020790
7/4/2023,424088291
7/5/2023,425739515
7/6/2023,481039191
7/7/2023,394878195
7/8/2023,415084773
7/9/2023,370249688
7/10/2023,418653725
7/11/2023,406304370
7/12/2023,405603069
7/13/2023,397928963
7/14/2023,392956089
7/15/2023,409719248
7/16/2023,367480514
7/17/2023,412131335
7/18/2023,393788958
7/19/2023,389121492
7/20/2023,385014947
7/21/2023,367959623
7/22/2023,388377147
7/23/2023,350768387
7/24/2023,402795153
7/25/2023,384218503
7/26/2023,391772925
7/27/2023,385739540
7/28/2023,287472057
7/29/2023,245464927
7/30/2023,484615767
7/31/2023,649885005
8/1/2023,472494220
8/2/2023,438177869
8/3/2023,420911103
8/4/2023,399420232
8/5/2023,403519035
8/6/2023,408367018
8/7/2023,438167329
8/8/2023,399986582
8/9/2023,405886792
8/10/2023,395678558
8/11/2023,397046810
8/12/2023,389529595
8/13/2023,389606804
8/14/2023,370631061
8/15/2023,416187831
8/16/2023,389446468
8/17/2023,387312747
8/18/2023,370978152
8/19/2023,375440296
8/20/2023,368119857
8/21/2023,394116298
8/22/2023,403746425
8/23/2023,397263917
8/24/2023,413029471
8/25/2023,372412232
8/26/2023,379447163
8/27/2023,361580133
8/28/2023,420762434
8/29/2023,404180377
8/30/2023,419090925
8/31/2023,669660783
9/1/2023,461573463
9/2/2023,457763396
9/3/2023,391413815
9/4/2023,427366495
9/5/2023,408800526
9/6/2023,397857058
9/7/2023,384674333
9/8/2023,410519314
9/9/2023,412742448
9/10/2023,405470610
9/11/2023,420134467
9/12/2023,385429199
9/13/2023,384752361
9/14/2023,417761300
9/15/2023,372112557
9/16/2023,381774478
9/17/2023,367812297
9/18/2023,392375276
9/19/2023,380910837
9/20/2023,381607512
9/21/2023,383587015
9/22/2023,520135077
9/23/2023,384427033
9/24/2023,360435594
9/25/2023,402420205
9/26/2023,405491653
9/27/2023,453939560
9/28/2023,452708644
9/29/2023,358835386
9/30/2023,530656448
10/1/2023,431122457
10/2/2023,467469342
10/3/2023,436538167
10/4/2023,427009163
10/5/2023,429857581
10/6/2023,435797293
10/7/2023,417100374
10/8/2023,392894699
10/9/2023,425006268
10/10/2023,460819116
10/11/2023,416936124
10/12/2023,413980829
10/13/2023,392707357
10/14/2023,415275204
10/15/2023,363107813
10/16/2023,482323639
10/17/2023,413951196
10/18/2023,407055612
10/19/2023,399140303
10/20/2023,395866063
10/21/2023,383591839
10/22/2023,366351024
10/23/2023,417685722
10/24/2023,376219407
10/25/2023,388323586
10/26/2023,405071643
10/27/2023,405706658
10/28/2023,392291379
10/29/2023,378698153
10/30/2023,507824732
10/31/2023,531467707
11/1/2023,496459006
11/2/2023,457906931
11/3/2023,437059652
11/4/2023,449503497
11/5/2023,398715054
11/6/2023,490254798
11/7/2023,445583247
