"","Period","Total"
"1","Monthly","US$  (Millions)"
"2","Feb 2024","2249.800000"
"3","Jan 2024","2397.900000"
"4","Dec 2023","2381.900000"
"5","Nov 2023","2258.500000"
"6","Oct 2023","2463.100000"
"7","Sep 2023","2208.100000"
"8","Aug 2023","2094.500000"
"9","Jul 2023","2029"
"10","Jun 2023","2187.100000"
"11","May 2023","2102.600000"
"12","Apr 2023","2198.300000"
"13","Mar 2023","2536.700000"
"14","Feb 2023","1990.300000"
"15","Jan 2023","1900.100000"
"16","Dec 2022","2099.800000"
"17","Nov 2022","2173"
"18","Oct 2022","2247.600000"
"19","Sep 2022","2431.300000"
"20","Aug 2022","2744.300000"
"21","Jul 2022","2510.900000"
"22","Jun 2022","2789.600000"
"23","May 2022","2346.200000"
"24","Apr 2022","3124.400000"
"25","Mar 2022","2834.767043"
"26","Feb 2022","2196.168428"
"27","Jan 2022","2180.433945"
"28","Dec 2021","2520.352433"
"29","Nov 2021","2459.710000"
"30","Oct 2021","2628.590000"
"31","Sep 2021","2779.890000"
"32","Aug 2021","2682.630000"
"33","Jul 2021","2736.080000"
"34","Jun 2021","2714.234446"
"35","May 2021","2506.700000"
"36","Apr 2021","2792.600000"
"37","Mar 2021","2723.200000"
"38","Feb 2021","2260.300000"
"39","Jan 2021","2268.700000"
"40","Dec 2020","2421.700000"
"41","Nov 2020","2332.100000"
"42","Oct 2020","2284.100000"
"43","Sep 2020","2285"
"44","Aug 2020","2096.200000"
"45","Jul 2020","2765"
"46","Jun 2020","2473.270000"
"47","May 2020","1865.230000"
"48","Apr 2020","1785.100000"
"49","Mar 2020","1904.680000"
"50","Feb 2020","1824.830000"
"51","Jan 2020","1906.980000"
"52","Dec 2019","2097.070000"
"53","Nov 2019","1821.450000"
"54","Oct 2019","2001.220000"
"55","Sep 2019","1740.250000"
"56","Aug 2019","1683.950000"
"57","Jul 2019","2028.280000"
"58","Jun 2019","1636.370000"
"59","May 2019","2302.020000"
"60","Apr 2019","1770.160000"
"61","Mar 2019","1733.500000"
"62","Feb 2019","1573.680000"
"63","Jan 2019","1735.850000"
"64","Dec 2018","1740.540000"
"65","Nov 2018","1657"
"66","Oct 2018","2052.550000"
"67","Sep 2018","1480.300000"
"68","Aug 2018","2083.080000"
"69","Jul 2018","1974.350000"
"70","Jun 2018","1627.650000"
"71","May 2018","1804.080000"
"72","Apr 2018","1678.870000"
"73","Mar 2018","1803.600000"
"74","Feb 2018","1473.070000"
"75","Jan 2018","1662.250000"
"76","Dec 2017","1745.750000"
"77","Nov 2017","1596.470000"
"78","Oct 2017","1677.020000"
"79","Sep 2017","1314.100000"
"80","Aug 2017","1975.040000"
"81","Jul 2017","1555.650000"
"82","Jun 2017","1840.240000"
"83","May 2017","1867.150000"
"84","Apr 2017","1538.940000"
"85","Mar 2017","1694.490000"
"86","Feb 2017","1417.060000"
"87","Jan 2017","1488.370000"
"88","Dec 2016","1585.370000"
"89","Nov 2016","1618.350000"
"90","Oct 2016","1561.020000"
"91","Sep 2016","1612.360000"
"92","Aug 2016","1767.730000"
"93","Jul 2016","1360.280000"
"94","Jun 2016","2073.080000"
"95","May 2016","1799.430000"
"96","Apr 2016","1656.460000"
"97","Mar 2016","1711.150000"
"98","Feb 2016","1521.920000"
"99","Jan 2016","1466.380000"
"100","Dec 2015","1616.130000"
"101","Nov 2015","1565.190000"
"102","Oct 2015","1541.210000"
"103","Sep 2015","1775.150000"
"104","Aug 2015","1527.190000"
"105","Jul 2015","1663.470000"
"106","Jun 2015","1821.480000"
"107","May 2015","1663.320000"
"108","Apr 2015","1640.050000"
"109","Mar 2015","1608.510000"
"110","Feb 2015","1420.540000"
"111","Jan 2015","1403.740000"
"112","Dec 2014","1634.060000"
"113","Nov 2014","1343.760000"
"114","Oct 2014","1409.220000"
"115","Sep 2014","1748.490000"
"116","Aug 2014","1350.860000"
"117","Jul 2014","1675.770000"
"118","Jun 2014","1499.300000"
"119","May 2014","1440.470000"
"120","Apr 2014","1311.850000"
"121","Mar 2014","1337.890000"
"122","Feb 2014","1209.770000"
"123","Jan 2014","1245.970000"
"124","Dec 2013","1384.940000"
"125","Nov 2013","1130.410000"
"126","Oct 2013","1348.030000"
"127","Sep 2013","1284.220000"
"128","Aug 2013","1240.140000"
"129","Jul 2013","1404.690000"
"130","Jun 2013","1166.190000"
"131","May 2013","1185.650000"
"132","Apr 2013","1215.900000"
"133","Mar 2013","1119.150000"
"134","Feb 2013","1028.330000"
"135","Jan 2013","1089.640000"
"136","Dec 2012","1134.660000"
"137","Nov 2012","1017.830000"
"138","Oct 2012","1365.100000"
"139","Sep 2012","1135.420000"
"140","Aug 2012","1258.980000"
"141","Jul 2012","1204.710000"
"142","Jun 2012","1117.480000"
"143","May 2012","1192.110000"
"144","Apr 2012","1141.020000"
"145","Mar 2012","1143.180000"
"146","Feb 2012","1156.810000"
"147","Jan 2012","1110.640000"
"148","Dec 2011","1085.350000"
"149","Nov 2011","924.920000"
"150","Oct 2011","1017.870000"
"151","Sep 2011","890.420000"
"152","Aug 2011","1310.470000"
"153","Jul 2011","1096.310000"
"154","Jun 2011","1104.560000"
"155","May 2011","1049.790000"
"156","Apr 2011","1030.420000"
"157","Mar 2011","1052.880000"
"158","Feb 2011","845.280000"
"159","Jan 2011","826.570000"
"160","Dec 2010","863.110000"
"161","Nov 2010","926.890000"
"162","Oct 2010","855.100000"
"163","Sep 2010","922.060000"
"164","Aug 2010","933.060000"
"165","Jul 2010","791.180000"
