Date,Views
02/01/2018,3
03/01/2018,11
04/01/2018,7
05/01/2018,6
06/01/2018,4
07/01/2018,3
08/01/2018,9
09/01/2018,6
10/01/2018,8
11/01/2018,6
12/01/2018,10
13/01/2018,10
14/01/2018,21
15/01/2018,10
16/01/2018,9
17/01/2018,13
18/01/2018,12
19/01/2018,10
20/01/2018,7
21/01/2018,6
22/01/2018,5
23/01/2018,11
24/01/2018,11
25/01/2018,6
26/01/2018,6
27/01/2018,7
28/01/2018,10
29/01/2018,9
30/01/2018,15
31/01/2018,8
01/02/2018,8
02/02/2018,12
03/02/2018,3
04/02/2018,13
05/02/2018,9
06/02/2018,9
07/02/2018,14
08/02/2018,10
09/02/2018,12
10/02/2018,6
11/02/2018,3
12/02/2018,15
13/02/2018,11
14/02/2018,9
15/02/2018,6
16/02/2018,5
17/02/2018,5
18/02/2018,52
19/02/2018,21
20/02/2018,12
21/02/2018,20
22/02/2018,18
23/02/2018,12
24/02/2018,10
25/02/2018,9
26/02/2018,8
27/02/2018,10
28/02/2018,12
01/03/2018,21
02/03/2018,16
03/03/2018,6
04/03/2018,16
05/03/2018,16
06/03/2018,20
07/03/2018,17
08/03/2018,13
09/03/2018,35
10/03/2018,35
11/03/2018,20
12/03/2018,15
13/03/2018,32
14/03/2018,29
15/03/2018,91
16/03/2018,40
17/03/2018,12
18/03/2018,12
19/03/2018,17
20/03/2018,18
21/03/2018,12
22/03/2018,11
23/03/2018,13
24/03/2018,11
25/03/2018,12
26/03/2018,9
27/03/2018,20
28/03/2018,28
29/03/2018,13
30/03/2018,8
31/03/2018,5
01/04/2018,16
02/04/2018,30
03/04/2018,29
04/04/2018,21
05/04/2018,11
06/04/2018,14
07/04/2018,21
08/04/2018,38
09/04/2018,23
10/04/2018,17
11/04/2018,20
12/04/2018,26
13/04/2018,16
14/04/2018,16
15/04/2018,19
16/04/2018,28
17/04/2018,23
18/04/2018,29
19/04/2018,30
20/04/2018,14
21/04/2018,12
22/04/2018,22
23/04/2018,20
24/04/2018,28
25/04/2018,30
26/04/2018,34
27/04/2018,26
28/04/2018,14
29/04/2018,8
30/04/2018,15
01/05/2018,29
02/05/2018,22
03/05/2018,13
04/05/2018,19
05/05/2018,21
06/05/2018,18
07/05/2018,19
08/05/2018,21
09/05/2018,17
10/05/2018,17
11/05/2018,17
12/05/2018,31
13/05/2018,15
14/05/2018,7
15/05/2018,18
16/05/2018,14
17/05/2018,23
18/05/2018,11
19/05/2018,6
20/05/2018,7
21/05/2018,19
22/05/2018,13
23/05/2018,12
24/05/2018,12
25/05/2018,8
26/05/2018,5
27/05/2018,8
28/05/2018,17
29/05/2018,22
30/05/2018,23
31/05/2018,9
01/06/2018,16
02/06/2018,13
03/06/2018,9
04/06/2018,12
05/06/2018,20
06/06/2018,8
07/06/2018,14
08/06/2018,14
09/06/2018,13
10/06/2018,9
11/06/2018,19
12/06/2018,6
13/06/2018,11
14/06/2018,13
15/06/2018,8
16/06/2018,10
17/06/2018,8
18/06/2018,13
19/06/2018,16
20/06/2018,10
21/06/2018,14
22/06/2018,11
23/06/2018,3
24/06/2018,8
25/06/2018,12
26/06/2018,13
27/06/2018,7
28/06/2018,12
29/06/2018,8
30/06/2018,4
01/07/2018,8
02/07/2018,21
03/07/2018,18
04/07/2018,13
05/07/2018,15
06/07/2018,10
07/07/2018,5
08/07/2018,6
09/07/2018,13
10/07/2018,17
11/07/2018,8
12/07/2018,11
13/07/2018,9
14/07/2018,7
15/07/2018,3
16/07/2018,13
17/07/2018,13
18/07/2018,9
19/07/2018,12
20/07/2018,14
21/07/2018,6
22/07/2018,10
23/07/2018,19
24/07/2018,10
25/07/2018,12
26/07/2018,13
27/07/2018,13
28/07/2018,12
29/07/2018,5
30/07/2018,16
31/07/2018,11
01/08/2018,22
02/08/2018,15
03/08/2018,9
04/08/2018,4
05/08/2018,11
06/08/2018,17
07/08/2018,15
08/08/2018,13
09/08/2018,22
10/08/2018,14
11/08/2018,9
12/08/2018,12
13/08/2018,18
14/08/2018,14
15/08/2018,15
16/08/2018,23
17/08/2018,14
18/08/2018,10
19/08/2018,14
20/08/2018,23
21/08/2018,18
22/08/2018,13
23/08/2018,17
24/08/2018,17
25/08/2018,9
26/08/2018,9
27/08/2018,12
28/08/2018,13
29/08/2018,25
30/08/2018,21
31/08/2018,10
01/09/2018,4
02/09/2018,11
03/09/2018,22
04/09/2018,20
05/09/2018,21
06/09/2018,17
07/09/2018,8
08/09/2018,9
09/09/2018,18
10/09/2018,18
11/09/2018,14
12/09/2018,22
13/09/2018,17
14/09/2018,14
15/09/2018,16
16/09/2018,7
17/09/2018,29
18/09/2018,18
19/09/2018,25
20/09/2018,29
21/09/2018,18
22/09/2018,13
23/09/2018,13
24/09/2018,13
25/09/2018,25
26/09/2018,29
27/09/2018,23
28/09/2018,15
29/09/2018,12
30/09/2018,13
01/10/2018,27
02/10/2018,22
03/10/2018,33
04/10/2018,22
05/10/2018,23
06/10/2018,10
07/10/2018,20
08/10/2018,18
09/10/2018,32
10/10/2018,32
11/10/2018,18
12/10/2018,24
13/10/2018,9
14/10/2018,9
15/10/2018,24
16/10/2018,23
17/10/2018,31
18/10/2018,21
19/10/2018,30
20/10/2018,14
21/10/2018,18
22/10/2018,44
23/10/2018,16
24/10/2018,20
25/10/2018,30
26/10/2018,14
27/10/2018,19
28/10/2018,19
29/10/2018,26
30/10/2018,30
31/10/2018,27
01/11/2018,25
02/11/2018,20
03/11/2018,21
04/11/2018,17
05/11/2018,24
06/11/2018,24
07/11/2018,17
08/11/2018,33
09/11/2018,34
10/11/2018,24
11/11/2018,21
12/11/2018,27
13/11/2018,22
14/11/2018,34
15/11/2018,30
16/11/2018,31
17/11/2018,12
18/11/2018,30
19/11/2018,33
20/11/2018,32
21/11/2018,22
22/11/2018,27
23/11/2018,15
24/11/2018,16
25/11/2018,23
26/11/2018,17
27/11/2018,28
28/11/2018,23
29/11/2018,28
30/11/2018,20
01/12/2018,7
02/12/2018,17
03/12/2018,41
04/12/2018,33
05/12/2018,36
06/12/2018,34
07/12/2018,21
08/12/2018,12
09/12/2018,18
10/12/2018,25
11/12/2018,32
12/12/2018,23
13/12/2018,29
14/12/2018,14
15/12/2018,12
16/12/2018,14
17/12/2018,15
18/12/2018,21
19/12/2018,23
20/12/2018,20
21/12/2018,12
22/12/2018,9
23/12/2018,7
24/12/2018,10
25/12/2018,6
26/12/2018,14
27/12/2018,12
28/12/2018,8
29/12/2018,8
30/12/2018,9
31/12/2018,9
01/01/2019,13
02/01/2019,12
03/01/2019,26
04/01/2019,19
05/01/2019,18
06/01/2019,14
07/01/2019,26
08/01/2019,31
09/01/2019,25
10/01/2019,29
11/01/2019,29
12/01/2019,6
13/01/2019,11
14/01/2019,21
15/01/2019,47
16/01/2019,29
17/01/2019,31
