"Date","Price","Open","High","Low","Vol.","Change %"
"10/13/2023","17,132.69","16,923.75","17,138.44","16,886.65","","1.38%"
"10/12/2023","16,899.13","16,817.41","16,931.92","16,767.68","","0.60%"
"10/11/2023","16,798.62","16,670.08","16,808.53","16,667.41","","0.87%"
"10/10/2023","16,653.60","16,512.97","16,666.60","16,503.43","","0.88%"
"10/09/2023","16,508.22","16,336.18","16,514.12","16,260.77","","0.78%"
"10/06/2023","16,380.28","16,397.48","16,424.74","16,338.50","","-0.45%"
"10/05/2023","16,454.50","16,375.32","16,473.57","16,375.32","","0.57%"
"10/04/2023","16,360.74","16,198.69","16,392.78","16,195.18","","1.00%"
"10/03/2023","16,198.63","16,173.89","16,226.61","16,154.52","","0.24%"
"10/02/2023","16,159.20","16,017.65","16,185.39","16,017.65","","1.01%"
"09/28/2023","15,998.03","16,088.92","16,090.68","15,969.47","","-1.17%"
"09/27/2023","16,187.44","16,155.38","16,216.47","16,124.49","","0.13%"
"09/26/2023","16,167.06","16,213.90","16,242.60","16,144.24","","-0.29%"
"09/25/2023","16,214.72","16,280.44","16,302.22","16,191.34","","-0.33%"
"09/22/2023","16,267.94","16,256.51","16,301.20","16,176.95","","0.16%"
"09/21/2023","16,242.19","16,093.16","16,245.97","16,024.12","","0.92%"
"09/20/2023","16,093.68","16,153.76","16,176.82","16,064.66","","-0.31%"
"09/19/2023","16,143.42","16,131.56","16,205.99","16,127.17","","0.17%"
"09/18/2023","16,116.73","16,109.38","16,152.13","16,063.78","","0.02%"
"09/15/2023","16,114.02","16,204.05","16,239.28","16,073.20","","0.20%"
"09/14/2023","16,081.71","16,057.89","16,126.04","16,040.63","","0.00%"
"09/13/2023","16,082.42","16,059.29","16,139.97","16,056.70","","0.19%"
"09/12/2023","16,052.55","16,197.10","16,197.10","16,044.62","","-0.84%"
"09/11/2023","16,187.86","16,274.32","16,312.31","16,129.18","","-0.54%"
"09/08/2023","16,275.74","16,193.27","16,275.74","16,155.68","","0.78%"
"09/07/2023","16,149.08","16,224.71","16,305.35","16,142.04","","-0.41%"
"09/06/2023","16,214.88","16,115.32","16,225.33","16,071.38","","0.67%"
"09/05/2023","16,107.35","16,254.98","16,297.79","16,066.91","","-0.94%"
"09/04/2023","16,260.55","16,166.59","16,286.75","16,146.86","","1.03%"
"09/01/2023","16,094.04","15,969.56","16,106.68","15,885.35","","0.55%"
"08/31/2023","16,006.73","16,438.17","16,480.06","15,734.77","","-2.48%"
"08/30/2023","16,413.81","16,610.28","16,660.11","16,361.71","","-1.11%"
"08/29/2023","16,598.69","16,797.40","16,825.31","16,537.99","","-1.64%"
"08/28/2023","16,875.08","16,965.47","16,973.87","16,855.36","","-0.60%"
"08/25/2023","16,977.56","17,001.48","17,014.35","16,926.58","","-0.20%"
"08/24/2023","17,012.40","16,900.07","17,095.14","16,900.07","","0.67%"
"08/23/2023","16,899.08","16,838.94","16,899.08","16,668.57","","0.40%"
"08/22/2023","16,832.47","16,798.06","16,901.60","16,751.73","","0.04%"
"08/21/2023","16,825.77","17,091.74","17,123.71","16,811.15","","-1.79%"
"08/18/2023","17,131.83","17,215.42","17,304.30","17,119.24","","-0.42%"
"08/17/2023","17,204.70","17,043.86","17,208.42","17,006.02","","0.42%"
"08/16/2023","17,133.00","17,283.76","17,293.30","17,108.64","","-0.94%"
"08/15/2023","17,295.96","17,266.32","17,350.30","17,161.92","","0.50%"
"08/11/2023","17,210.52","16,986.15","17,426.25","16,986.15","","1.50%"
"08/10/2023","16,955.92","17,261.76","17,271.99","16,848.09","","-1.73%"
"08/09/2023","17,253.56","16,847.24","17,253.56","16,799.24","","2.23%"
"08/08/2023","16,876.69","17,231.31","17,262.30","16,857.26","","-1.99%"
"08/07/2023","17,218.74","17,387.77","17,526.04","17,201.30","","-0.87%"
"08/04/2023","17,369.48","17,347.20","17,476.78","17,289.63","","-0.09%"
"08/03/2023","17,384.64","17,536.91","17,687.20","17,355.19","","-0.69%"
"08/02/2023","17,505.68","17,274.74","17,510.97","17,233.16","","1.53%"
"08/01/2023","17,242.21","17,337.99","17,357.10","17,162.27","","0.19%"
