date,open,hig,low ,close,volume ,change
11-Apr-25,"35,647.35","35,647.35","35,143.89","35,217.14","108,371,483",-533.08
10-Apr-25,"36,219.55","36,338.60","35,722.00","35,750.22","135,096,871",549.81
09-Apr-25,"35,538.18","35,538.18","34,766.56","35,200.41","99,474,387",-461.27
08-Apr-25,"35,870.94","36,092.26","35,654.59","35,661.68","96,363,179",120.37
07-Apr-25,"36,443.81","36,443.81","33,903.46","35,541.31","197,991,870","-1,237.49"
04-Apr-25,"36,822.85","37,456.18","36,728.08","36,778.80","136,698,825",22.57
03-Apr-25,"36,340.29","36,852.92","36,210.24","36,756.23","99,169,114",409.56
27-Mar-25,"36,358.29","36,427.07","36,199.25","36,346.67","83,360,874",50.36
26-Mar-25,"36,284.99","36,399.54","36,031.71","36,296.31","148,588,192",474.7
25-Mar-25,"35,654.18","35,906.51","35,489.09","35,821.61","73,315,029",118.57
24-Mar-25,"36,446.43","36,446.43","35,624.29","35,703.04","83,496,186",-672.47
21-Mar-25,"36,630.35","36,714.78","36,328.50","36,375.51","54,956,759",-156.53
20-Mar-25,"36,345.43","36,727.70","36,345.43","36,532.04","115,106,339",36.41
19-Mar-25,"36,184.98","36,592.29","36,040.42","36,495.63","156,363,897",361.4
18-Mar-25,"36,019.21","36,210.35","35,966.67","36,134.23","109,521,889",227.87
17-Mar-25,"35,755.36","36,086.10","35,720.85","35,906.36","158,747,823",248.24
14-Mar-25,"35,701.13","35,711.13","35,511.68","35,658.12","93,829,575",47.03
13-Mar-25,"35,368.94","35,653.47","35,368.94","35,611.09","111,531,278",353.57
12-Mar-25,"35,389.89","35,453.56","35,214.38","35,257.52","77,898,295",-52.17
11-Mar-25,"35,211.30","35,397.96","35,006.24","35,309.69","94,002,261",-37.5
10-Mar-25,"35,354.00","35,583.12","35,277.06","35,347.19","99,891,492",-110.82
07-Mar-25,"35,400.62","35,569.20","35,391.98","35,458.01","168,816,291",156.18
06-Mar-25,"34,862.36","35,348.26","34,808.40","35,301.83","137,623,567",517.92
05-Mar-25,"35,023.18","35,148.91","34,729.00","34,783.91","52,224,170",-183.67
