Period,Australia,Canada,EU Countries,Japan,Malaysia,Norway,Other Countries,Other GCC Countries,Saudi Arabia,Switzerland,United Arab Emirates,United Kingdom ,USA,Total
Monthly,US$  (Millions),US$  (Millions),US$  (Millions),US$  (Millions),US$  (Millions),US$  (Millions),US$  (Millions),US$  (Millions),US$  (Millions),US$  (Millions),US$  (Millions),US$  (Millions),US$  (Millions),US$  (Millions)
Apr 2024,61.700000,50,298,4.300000,16.700000,8.600000,65.600000,288.300000,712,3.400000,542.300000,403.200000,329.200000,2811.900000
Mar 2024,64.700000,56.700000,314.700000,4.800000,14.300000,9.500000,69.300000,302.700000,703.100000,4.800000,548.500000,461.500000,372.500000,2954
Feb 2024,50,40.200000,263.400000,3.900000,9.200000,8.400000,61.200000,232.200000,539.900000,3.700000,384.800000,346,287.400000,2250.100000
Jan 2024,54.500000,42.300000,290.200000,4.100000,9.300000,8.600000,67.600000,252.800000,587.400000,4.200000,407.600000,362.200000,283.500000,2397.900000
Dec 2023,61.100000,39.900000,284.900000,5.300000,9.500000,11.200000,56.700000,255.200000,577.600000,3.800000,419.200000,368,263.800000,2381.900000
Nov 2023,53.300000,35.500000,268.600000,4.200000,8.900000,7.700000,51.100000,243.300000,543.600000,3.800000,411.800000,342.200000,261.600000,2258.500000
Oct 2023,44.200000,39.500000,297.600000,4.600000,11.600000,7.600000,56.300000,269.500000,616.800000,3.500000,473.900000,330.300000,283.300000,2463.100000
Sep 2023,43.600000,36.200000,269.600000,3.900000,9.500000,7.600000,51.300000,248.100000,538.300000,3.900000,399.800000,311.300000,263.800000,2208.100000
Aug 2023,45.200000,34.900000,290.800000,3.800000,6.300000,8,45.800000,244.700000,491.100000,3.500000,308.400000,329.800000,262.700000,2094.500000
Jul 2023,42.300000,36.700000,283.400000,3.800000,6.500000,10.500000,41.100000,228.300000,486.700000,3.500000,315.500000,306.600000,238.100000,2029
Jun 2023,46.400000,42.800000,279.200000,4.700000,6.800000,9.900000,42.500000,272,516.100000,4.600000,324.800000,343.400000,273,2187.100000
May 2023,43.100000,39.200000,249.200000,6.100000,7.400000,6.600000,54,250.700000,524,3.800000,335.800000,306.400000,257.300000,2102.600000
Apr 2023,44.800000,48.300000,257.500000,5.100000,8.600000,8.100000,54.100000,250.100000,489.800000,4.100000,380.100000,353.600000,271.900000,2198.300000
Mar 2023,51.900000,53.100000,297.500000,6.700000,7.200000,10.600000,70.400000,298.700000,567.700000,4.400000,409.800000,421.200000,315.200000,2536.700000
Feb 2023,46.800000,40.400000,245.400000,5.900000,6.500000,8.700000,55.100000,241.700000,454.900000,3.400000,324.100000,317.200000,219.800000,1990.300000
Jan 2023,47.200000,37.700000,242.500000,5.500000,6,9.700000,57.100000,244,409.400000,3.300000,269.500000,331.300000,214.400000,1900.100000
Dec 2022,46.800000,36.100000,239.700000,6.700000,7.400000,8.100000,61.300000,240.200000,529.900000,3.700000,331,320.600000,243.200000,2099.800000
Nov 2022,49.600000,48.500000,252.900000,6.100000,7.900000,8.700000,50.700000,259.400000,512,3.200000,380.400000,306.800000,242.800000,2173
Oct 2022,45.300000,44.500000,232.300000,5.800000,9.600000,7.700000,62.200000,259.400000,582.500000,3.300000,426.100000,280.700000,261.700000,2247.600000
Sep 2022,51,49.100000,259.300000,6.400000,11.600000,8.400000,54.200000,295.600000,615.800000,3.400000,472.100000,306.800000,267.800000,2431.300000
Aug 2022,61.100000,57.500000,279.400000,7.200000,14.700000,10.600000,73.200000,301.900000,692.600000,3.700000,540.400000,369.700000,297,2744.300000
Jul 2022,58.700000,54,294.200000,7.500000,11.400000,13.300000,62.200000,280.600000,577.100000,2.900000,455.900000,408.600000,248.300000,2510.900000
Jun 2022,58.900000,59.500000,285.600000,7.600000,12.100000,11.100000,68.800000,326.700000,675.600000,3.500000,499.700000,456.800000,287.300000,2789.600000
May 2022,54.400000,52.900000,270.200000,5.800000,11.300000,10.900000,60.800000,268.900000,546.300000,3.100000,434.300000,358.500000,234.600000,2346.200000
Apr 2022,72.700000,81.500000,297.200000,7.700000,14.700000,16,82.400000,358.900000,704.500000,4.100000,614.100000,484.100000,347,3124.400000
Mar 2022,73.354828,70.924556,281.169277,6.936470,14.340000,17.600000,67.200000,345.274498,686.378604,4.870000,521.060000,402.300000,301.630000,2834.767043
Feb 2022,55.825242,52.030994,237.748598,5.480000,9.830000,10.160000,51.400000,261.359882,558.449596,3.100000,386.300000,319.900000,211.210000,2196.168428
Jan 2022,47.894353,51.783212,239.416531,5.312702,10.240524,9.950000,50.400000,257.763081,548.878809,3.228000,382.300000,324.300000,211.850000,2180.433945
Dec 2021,64.500000,56.160000,289.630000,7.230000,12.390000,11.980000,67.600000,298.250000,626.570000,4.180000,453.160000,340.750000,248.510000,2520.352433
Nov 2021,56.570000,54.550000,266.720000,6.400000,12.290000,10.060000,65.100000,297.660000,622.300000,3.460000,475.050000,313.740000,244.360000,2459.710000
Oct 2021,79.500000,58.300000,295.480000,6.300000,12.460000,12.610000,63.100000,296.370000,689.810000,4.250000,479.110000,355.140000,238.300000,2628.590000
Sep 2021,76.080000,57.490000,302.460000,6.760000,12.130000,13.450000,75.300000,317.090000,719.530000,3.460000,525.270000,380.260000,250.120000,2779.890000
Aug 2021,59.900000,53.560000,294.670000,6.050000,11.120000,11.006000,68.800000,296.850000,715.960000,4.030000,528.110000,359.100000,235.190000,2682.630000
Jul 2021,53.740000,59.380000,301.130000,7.290000,11.880000,10.770000,67.200000,300.340000,659.870000,4.380000,547.680000,397.940000,277.220000,2736.080000
Jun 2021,52.256648,63.838205,276.140448,6.809143,13.517188,11.510000,73.600000,303.940573,686.243577,4.364000,557.400000,380.970000,246.200000,2714.234446
May 2021,47.614440,64.710824,246.714768,5.510052,16.974230,9.290000,57.500000,265.951544,627.721922,3.550000,524.100000,369.040000,229.300000,2506.700000
Apr 2021,57.332794,70.806276,253.965267,7.121270,20.025478,12.120000,65.900000,300.159273,673.384311,5.090000,558.500000,435.300000,293.600000,2792.600000
Mar 2021,48.851303,55.975619,236.145991,7.109405,17.039993,9.520000,71.700000,315.552137,693.818418,4.100000,591.300000,376.100000,261.900000,2723.200000
Feb 2021,50.342105,45.781615,209.851470,6.500000,15.716751,8.900000,57.400000,256.927880,535.077313,2.630000,487.860000,348.800000,196.600000,2260.300000
Jan 2021,52.187899,48.077629,230.607430,6.230000,14.585422,8.540000,54.400000,271.029461,555.738752,4.140000,492,304.500000,190.700000,2268.700000
Dec 2020,57.100534,47.652943,246.020930,7.900000,16.716921,11.002000,58.700000,279.788710,624.800000,4.550000,510.990000,326.200000,186.800000,2421.700000
Nov 2020,47.829786,41.464399,220.430494,7.190899,17.267264,8.250000,68.200000,281.254378,614.800000,4.700000,518.300000,286.200000,178.500000,2332.100000
Oct 2020,43.178732,39.198570,204.519735,7.300000,17,7.200000,58.500000,272.583933,634.200000,2.800000,503.400000,278.400000,183.200000,2284.100000
Sep 2020,46.700000,39.520000,208.413938,7.030000,16.860000,7.550000,53,261.390000,665.700000,2.790000,473.150000,289.290000,180.350000,2285
Aug 2020,42.504796,34.604914,167.141426,7.240000,17.190000,6.990000,51.500000,226.090000,593.100000,2.650000,409.600000,302.270000,201.640000,2096.200000
Jul 2020,52.110000,43.130000,228.613355,9.310000,22.250000,10.910000,56.500000,296.950000,821.550000,2.830000,538.190000,393.910000,250.800000,2765
Jun 2020,49.650000,40.620000,210.310000,7.810000,17.100000,8.050000,51.300000,261.300000,748.040000,4.980000,516.330000,349.960000,176.120000,2473.270000
May 2020,36.080000,36.120000,147.940000,5.890000,13.720000,6.230000,36,200.800000,541.310000,1.980000,413.210000,238.460000,167.180000,1865.230000
Apr 2020,24.270000,28.100000,116.700000,4.930000,7.960000,6.580000,47,183.760000,548.420000,2.350000,463.160000,187.400000,153.040000,1785.100000
Mar 2020,21.510000,21.300000,132.620000,6.280000,17.190000,4.440000,49.700000,238.600000,556.730000,2.030000,510.980000,180.490000,142.920000,1904.680000
Feb 2020,25.150000,21.880000,132.590000,5.150000,18.940000,4.630000,52.800000,248.620000,513.140000,1.860000,467.980000,173.760000,137.960000,1824.830000
Jan 2020,27.350000,24.890000,141.990000,4.650000,20.540000,5.310000,47.100000,260.550000,531.600000,2.030000,463.490000,201.510000,148.800000,1906.980000
Dec 2019,30.490000,25.710000,150.680000,6.700000,20.530000,6.050000,72.500000,282.950000,577.060000,3.310000,504.380000,229.010000,159.170000,2097.070000
