"ISO3","countryname","year","rGDP","unemp","CPI"
"IND","India",1800,NA,NA,NA
"IND","India",1801,NA,NA,NA
"IND","India",1802,NA,NA,NA
"IND","India",1803,NA,NA,NA
"IND","India",1804,NA,NA,NA
"IND","India",1805,NA,NA,NA
"IND","India",1806,NA,NA,NA
"IND","India",1807,NA,NA,NA
"IND","India",1808,NA,NA,NA
"IND","India",1809,NA,NA,NA
"IND","India",1810,NA,NA,NA
"IND","India",1811,NA,NA,NA
"IND","India",1812,NA,NA,NA
"IND","India",1813,NA,NA,NA
"IND","India",1814,NA,NA,NA
"IND","India",1815,NA,NA,NA
"IND","India",1816,NA,NA,NA
"IND","India",1817,NA,NA,NA
"IND","India",1818,NA,NA,NA
"IND","India",1819,NA,NA,NA
"IND","India",1820,NA,NA,NA
"IND","India",1821,NA,NA,NA
"IND","India",1822,NA,NA,NA
"IND","India",1823,NA,NA,NA
"IND","India",1824,NA,NA,NA
"IND","India",1825,NA,NA,NA
"IND","India",1826,NA,NA,NA
"IND","India",1827,NA,NA,NA
"IND","India",1828,NA,NA,NA
"IND","India",1829,NA,NA,NA
"IND","India",1830,NA,NA,NA
"IND","India",1831,NA,NA,NA
"IND","India",1832,NA,NA,NA
"IND","India",1833,NA,NA,NA
"IND","India",1834,NA,NA,NA
"IND","India",1835,NA,NA,NA
"IND","India",1836,NA,NA,NA
"IND","India",1837,NA,NA,NA
"IND","India",1838,NA,NA,NA
"IND","India",1839,NA,NA,NA
"IND","India",1840,NA,NA,NA
"IND","India",1841,NA,NA,NA
"IND","India",1842,NA,NA,NA
"IND","India",1843,NA,NA,NA
"IND","India",1844,NA,NA,NA
"IND","India",1845,NA,NA,NA
"IND","India",1846,NA,NA,NA
"IND","India",1847,NA,NA,NA
"IND","India",1848,NA,NA,NA
"IND","India",1849,NA,NA,NA
"IND","India",1850,NA,NA,NA
"IND","India",1851,NA,NA,NA
"IND","India",1852,NA,NA,NA
"IND","India",1853,NA,NA,NA
"IND","India",1854,NA,NA,NA
"IND","India",1855,NA,NA,NA
"IND","India",1856,NA,NA,NA
"IND","India",1857,NA,NA,NA
"IND","India",1858,NA,NA,NA
"IND","India",1859,NA,NA,NA
"IND","India",1860,NA,NA,NA
"IND","India",1861,NA,NA,NA
