Geo Point;Geo Shape;BikeRace;City;BikePos;NumUnits;CrashHour;Locality;BikeSex;DrvrVehTyp;NumBikesNo;BikeAlcDrg;NumBikesBI;RteInvdCd;DrvrRace;Workzone;NumBikesCi;BikeAgeGrp;CrashType;RdDefects;CrashAlcoh;BikeAlcoho;RdConditio;DstncMiFrm;RuralUrban;HitRun;CrashDate;NumBikesUI;CrashTime;DrvrSex;DrvrAlcoho;Developmen;CrashSevr;AmbulanceR;DrvrInjury;OBJECTID;CrashMonth;NumBikesKi;RdCharacte;Region;BikeDir;TraffCntrl;CrashDay;CrashLoc;BikeAge;NumBikesTo;RdConfig;NumLanes;NumBikesAI;DrvrAlcDrg;OnRoad;RdSurface;Towrd_Rd;RdFeature;CrashGrp;RdClass;BikeInjury;County;DrvrAge;Weather;FrmRd;DrvrEstSpd;SpeedLimit;CrashYear;LightCond;DrvrAgeGrp
35.3336070056, -77.9955023901;"{""type"": ""Point"", ""coordinates"": [-77.99550239012649, 35.33360700564749]}";Black;None - Rural Crash;Bike Lane / Paved Shoulder;2;6;Rural (<30% Developed);Male;Single Unit Truck (2-Axle, 6-Tire);0;#NULL!;0;0;White;No;0;50-59;Motorist Overtaking - Undetected Bicyclist;None;No;No;Dry;0;Rural;No;11DEC2013;0;6:10;Male;No;Farms, Woods, Pastures;B: Evident Injury;Yes;O: No Injury;1686;December;0;Straight - Level;Coastal;With Traffic;No Control Present;Wednesday;Non-Intersection;52;0;Two-Way, Not Divided;2 lanes;0;#NULL!;SR 1915;Coarse Asphalt;#NULL!;No Special Feature;Motorist Overtaking Bicyclist;State Secondary Route;B: Evident Injury;Wayne;34;Clear;#NULL!;51-55 mph;50 - 55  MPH;2013;Dark - Roadway Not Lighted;30-39
36.3151872016, -78.4057025669;"{""type"": ""Point"", ""coordinates"": [-78.4057025668518, 36.31518720156319]}";Black;Henderson;Travel Lane;2;20;Mixed (30% To 70% Developed);Male;Unknown;0;#NULL!;0;0;Unknown/Missing;No;0;60-69;Bicyclist Ride Out - Sign-Controlled Intersection;Unknown;No;No;Dry;0;Urban;Yes;20NOV2013;0;20:41;Unknown;Missing;Residential;C: Possible Injury;No;Unknown Injury;1674;November;0;Straight - Level;Piedmont;With Traffic;Stop Sign;Wednesday;Intersection;66;0;Two-Way, Divided, Unprotected Median;2 lanes;0;#NULL!;NICHOLAS ST;Smooth Asphalt;#NULL!;T-Intersection;Bicyclist Failed to Yield - Sign-Controlled Intersection;Local Street;C: Possible Injury;Vance;Unknown;Clear;#NULL!;6-10 mph;30 - 35  MPH;2013;Unknown;Unknown
35.5246969313, -81.2295033733;"{""type"": ""Point"", ""coordinates"": [-81.22950337331442, 35.524696931320605]}";White;None - Rural Crash;Travel Lane;2;18;Rural (<30% Developed);Male;Passenger Car;0;#NULL!;0;0;Hispanic;No;0;30-39;Motorist Overtaking - Undetected Bicyclist;None;No;No;Dry;0;Rural;No;03NOV2013;0;18:05;Female;No;Farms, Woods, Pastures;C: Possible Injury;Yes;O: No Injury;1673;November;0;Straight - Grade;Piedmont;With Traffic;Double Yellow Line, No Passing Zone;Sunday;Non-Intersection;33;0;Two-Way, Not Divided;2 lanes;0;#NULL!;US 321;Smooth Asphalt;#NULL!;No Special Feature;Motorist Overtaking Bicyclist;US Route;C: Possible Injury;Lincoln;37;Clear;#NULL!;41-45 mph;50 - 55  MPH;2013;Dark - Roadway Not Lighted;30-39
34.3314967628, -78.7080025567;"{""type"": ""Point"", ""coordinates"": [-78.70800255666208, 34.33149676278382]}";Black;Whiteville;Unknown;2;18;Urban (>70% Developed);Male;Passenger Car;0;#NULL!;0;0;Black;No;0;50-59;Bicyclist Ride Out - Signalized  Intersection;None;Yes;Yes;Water (Standing, Moving);0;Urban;No;14DEC2013;0;18:34;Male;No;Commercial;C: Possible Injury;Yes;O: No Injury;1687;December;0;Straight - Level;Coastal;Unknown;No Control Present;Saturday;Intersection;52;0;Two-Way, Not Divided;1 lane;0;#NULL!;W BURKHEAD ST;Coarse Asphalt;#NULL!;No Special Feature;Bicyclist Failed to Yield - Signalized Intersection;Local Street;C: Possible Injury;Columbus;55;Rain;#NULL!;11-15 mph;30 - 35  MPH;2013;Dark - Lighted Roadway;50-59
34.2347367682, -77.8694022982;"{""type"": ""Point"", ""coordinates"": [-77.86940229824312, 34.23473676818443]}";White;Wilmington;Sidewalk / Crosswalk / Driveway Crossing;2;13;Urban (>70% Developed);Female;Passenger Car;0;#NULL!;0;0;White;No;0;20-24;Motorist Drive Out - Right Turn on Red;None;No;No;Dry;0;Urban;No;24OCT2013;0;13:27;Male;No;Residential;C: Possible Injury;Yes;O: No Injury;1653;October;0;Straight - Level;Coastal;Facing Traffic;Stop And Go Signal;Thursday;Intersection;22;0;Two-Way, Not Divided;8 lanes;0;#NULL!;RACINE DR;Concrete;#NULL!;No Special Feature;Motorist Failed to Yield - Signalized Intersection;Local Street;C: Possible Injury;New Hanover;25;Clear;#NULL!;Unknown;Unknown;2013;Daylight;25-29
34.7061968304, -79.1307027023;"{""type"": ""Point"", ""coordinates"": [-79.13070270229086, 34.70619683043295]}";Native American;None - Rural Crash;Travel Lane;2;17;Rural (<30% Developed);Male;Passenger Car;0;#NULL!;0;0;Native American;No;0;11-15;Motorist Overtaking - Undetected Bicyclist;None;No;No;Dry;0;Rural;No;03DEC2013;0;17:30;Female;No;Farms, Woods, Pastures;B: Evident Injury;Yes;O: No Injury;1665;December;0;Straight - Level;Coastal;With Traffic;No Control Present;Tuesday;Non-Intersection;15;0;Two-Way, Not Divided;2 lanes;0;#NULL!;SR 1513;Smooth Asphalt;#NULL!;No Special Feature;Motorist Overtaking Bicyclist;State Secondary Route;B: Evident Injury;Robeson;17;Cloudy;#NULL!;41-45 mph;50 - 55  MPH;2013;Dusk;0-19
34.912756854, -79.7540029001;"{""type"": ""Point"", ""coordinates"": [-79.75400290012301, 34.91275685400474]}";White;None - Rural Crash;Bike Lane / Paved Shoulder;2;17;Mixed (30% To 70% Developed);Female;Van;0;#NULL!;0;0;Unknown/Missing;No;0;40-49;Head-On - Bicyclist;None;No;No;Dry;0;Rural;Yes;20NOV2013;0;17:46;Unknown;Missing;Residential;B: Evident Injury;Yes;Unknown Injury;1642;November;0;Straight - Level;Piedmont;Facing Traffic;No Control Present;Wednesday;Non-Intersection;41;0;Two-Way, Not Divided;2 lanes;0;#NULL!;SR 1903;Coarse Asphalt;#NULL!;No Special Feature;Head-On;State Secondary Route;B: Evident Injury;Richmond;Unknown;Clear;#NULL!;31-35 mph;30 - 35  MPH;2013;Dark - Roadway Not Lighted;Unknown
35.7759970789, -78.6351026075;"{""type"": ""Point"", ""coordinates"": [-78.6351026075369, 35.77599707888422]}";Black;Raleigh;Unknown;2;7;Urban (>70% Developed);Male;Passenger Car;0;#NULL!;0;0;Black;No;0;11-15;Unknown Approach Paths;None;No;No;Water (Standing, Moving);0;Urban;No;10DEC2013;0;7:22;Female;No;Commercial;C: Possible Injury;Yes;O: No Injury;1675;December;0;Straight - Level;Piedmont;Unknown;Stop And Go Signal;Tuesday;Non-Intersection;14;0;One-Way, Not Divided;3 lanes;0;#NULL!;PERSON ST;Smooth Asphalt;#NULL!;No Special Feature;Other/Unknown - Insufficient Details;Local Street;C: Possible Injury;Wake;50;Rain;#NULL!;31-35 mph;30 - 35  MPH;2013;Daylight;50-59
34.3486067664, -78.7019025548;"{""type"": ""Point"", ""coordinates"": [-78.70190255482996, 34.34860676642144]}";Black;Whiteville;Unknown;2;15;Rural (<30% Developed);Male;Pickup;0;#NULL!;0;0;White;No;0;16-19;Bicyclist Right Turn - Same Direction;None;No;No;Dry;0;Urban;No;25NOV2013;0;15:23;Male;No;Residential;C: Possible Injury;Yes;O: No Injury;1668;November;0;Straight - Level;Coastal;Facing Traffic;No Control Present;Monday;Non-Intersection;16;0;Two-Way, Not Divided;2 lanes;0;#NULL!;FLOWERS-PRIDGEN RD;Coarse Asphalt;#NULL!;No Special Feature;Bicyclist Right Turn / Merge;Local Street;C: Possible Injury;Columbus;32;Clear;#NULL!;6-10 mph;30 - 35  MPH;2013;Daylight;30-39
35.1149669893, -77.0555020935;"{""type"": ""Point"", ""coordinates"": [-77.05550209351577, 35.11496698933188]}";Black;New Bern;Travel Lane;2;2;Urban (>70% Developed);Male;Passenger Car;0;#NULL!;0;0;Black;No;0;50-59;Motorist Overtaking - Other / Unknown;None;No;No;Wet;0;Urban;No;29NOV2013;0;2:28;Female;No;Residential;C: Possible Injury;No;O: No Injury;1662;November;0;Straight - Level;Coastal;With Traffic;No Control Present;Friday;Non-Intersection;54;0;Two-Way, Not Divided;2 lanes;0;#NULL!;SUTTON ST;Smooth Asphalt;#NULL!;No Special Feature;Motorist Overtaking Bicyclist;Local Street;C: Possible Injury;Craven;69;Rain;#NULL!;0-5 mph;20 - 25  MPH;2013;Daylight;60-69
