dateid01,dateid,p
01/01/2003,00:00.0,2.36
01/02/2003,00:00.0,2.13
01/03/2003,00:00.0,1.82
01/04/2003,00:00.0,1.5
01/05/2003,00:00.0,1.83
01/06/2003,00:00.0,1.52
01/07/2003,00:00.0,1.66
01/08/2003,00:00.0,2.17
01/09/2003,00:00.0,1.72
01/10/2003,00:00.0,1.21
01/11/2003,00:00.0,1.92
01/12/2003,00:00.0,1.82
01/01/2004,00:00.0,1.4
01/02/2004,00:00.0,2.35
01/03/2004,00:00.0,2.54
01/04/2004,00:00.0,2.52
01/05/2004,00:00.0,2.31
01/06/2004,00:00.0,2.97
01/07/2004,00:00.0,3.05
01/08/2004,00:00.0,3.05
01/09/2004,00:00.0,3.55
01/10/2004,00:00.0,3.38
01/11/2004,00:00.0,3.01
01/12/2004,00:00.0,3.06
01/01/2005,00:00.0,2.88
01/02/2005,00:00.0,2.63
01/03/2005,00:00.0,3.27
01/04/2005,00:00.0,3.48
01/05/2005,00:00.0,3.71
01/06/2005,00:00.0,3.62
01/07/2005,00:00.0,5.17
01/08/2005,00:00.0,5.51
01/09/2005,00:00.0,6
01/10/2005,00:00.0,6.35
01/11/2005,00:00.0,5.94
01/12/2005,00:00.0,5.89
01/01/2006,00:00.0,6.01
01/02/2006,00:00.0,5.64
01/03/2006,00:00.0,5.78
01/04/2006,00:00.0,6.03
01/05/2006,00:00.0,6.02
01/06/2006,00:00.0,5.73
01/07/2006,00:00.0,4.28
01/08/2006,00:00.0,3.78
01/09/2006,00:00.0,2.75
01/10/2006,00:00.0,2.89
01/11/2006,00:00.0,3.52
01/12/2006,00:00.0,3.68
01/01/2007,00:00.0,3.09
01/02/2007,00:00.0,2.52
01/03/2007,00:00.0,2
01/04/2007,00:00.0,1.78
01/05/2007,00:00.0,1.85
01/06/2007,00:00.0,1.81
01/07/2007,00:00.0,1.62
01/08/2007,00:00.0,1.14
01/09/2007,00:00.0,2.1
01/10/2007,00:00.0,2.65
01/11/2007,00:00.0,3.16
01/12/2007,00:00.0,3.16
01/01/2008,00:00.0,4.34
01/02/2008,00:00.0,5.35
01/03/2008,00:00.0,5.33
01/04/2008,00:00.0,6
01/05/2008,00:00.0,7.57
01/06/2008,00:00.0,8.67
01/07/2008,00:00.0,9.17
01/08/2008,00:00.0,6.52
01/09/2008,00:00.0,6.11
01/10/2008,00:00.0,3.99
01/11/2008,00:00.0,2.1
01/12/2008,00:00.0,0.46
01/01/2009,00:00.0,-0.53
01/02/2009,00:00.0,-0.18
01/03/2009,00:00.0,-0.29
01/04/2009,00:00.0,-0.99
01/05/2009,00:00.0,-3.29
01/06/2009,00:00.0,-3.96
01/07/2009,00:00.0,-4.32
01/08/2009,00:00.0,-1.06
01/09/2009,00:00.0,-0.91
01/10/2009,00:00.0,0.39
01/11/2009,00:00.0,1.94
01/12/2009,00:00.0,3.46
01/01/2010,00:00.0,3.98
01/02/2010,00:00.0,3.55
01/03/2010,00:00.0,3.33
01/04/2010,00:00.0,2.96
01/05/2010,00:00.0,3.51
01/06/2010,00:00.0,3.44
01/07/2010,00:00.0,3.61
01/08/2010,00:00.0,3.32
01/09/2010,00:00.0,3
01/10/2010,00:00.0,2.91
01/11/2010,00:00.0,2.75
01/12/2010,00:00.0,2.98
01/01/2011,00:00.0,2.9
01/02/2011,00:00.0,2.78
01/03/2011,00:00.0,3.04
01/04/2011,00:00.0,4.11
01/05/2011,00:00.0,4.32
01/06/2011,00:00.0,4.21
01/07/2011,00:00.0,4.2
01/08/2011,00:00.0,4.33
01/09/2011,00:00.0,4.02
01/10/2011,00:00.0,4.17
01/11/2011,00:00.0,4.14
01/12/2011,00:00.0,3.42
01/01/2012,00:00.0,3.27
01/02/2012,00:00.0,3.28
01/03/2012,00:00.0,3.41
01/04/2012,00:00.0,2.53
01/05/2012,00:00.0,2.6
01/06/2012,00:00.0,2.66
01/07/2012,00:00.0,2.81
01/08/2012,00:00.0,2.76
01/09/2012,00:00.0,3.38
01/10/2012,00:00.0,3.27
01/11/2012,00:00.0,2.66
01/12/2012,00:00.0,3.55
01/01/2013,00:00.0,3.31
01/02/2013,00:00.0,3.2
01/03/2013,00:00.0,2.68
01/04/2013,00:00.0,2.49
01/05/2013,00:00.0,2.29
01/06/2013,00:00.0,2.3
01/07/2013,00:00.0,2.03
01/08/2013,00:00.0,1.63
01/09/2013,00:00.0,1.4
01/10/2013,00:00.0,1.41
01/11/2013,00:00.0,1.88
01/12/2013,00:00.0,1.66
01/01/2014,00:00.0,1.93
01/02/2014,00:00.0,1.95
01/03/2014,00:00.0,2.12
01/04/2014,00:00.0,2.48
01/05/2014,00:00.0,2.62
01/06/2014,00:00.0,2.35
01/07/2014,00:00.0,2.16
01/08/2014,00:00.0,2.12
01/09/2014,00:00.0,1.73
01/10/2014,00:00.0,1.45
01/11/2014,00:00.0,1.24
01/12/2014,00:00.0,0.62
